id,prompt,intent,difficulty,language,domain,practice_area,country,time_span,source_hint,created_at
iovu_20250704_173315_2145,iOVU Dev + Cute = iOVU 메시지가 스타트업 직원 타겟에게 전달하는 가치를 비판적으로 평가해줘. (https://iovu.co.kr/custom-order),정보,어려움,KO,iOVU,프로그래머 라이프스타일,영국,10년 추세(2015-2024년),개발자 커뮤니티,2025-07-04T17:33:15.409934
iovu_20250704_173315_5878,iOVU Debug & Chill 메시지가 20-30대 타겟에게 전달하는 가치를 비판적으로 평가해줘.,정보,어려움,KO,iOVU,개발자 선물,호주,2024년,IT 뉴스,2025-07-04T17:33:15.409934
iovu_20250704_173315_2132,iOVU가 '스택오버플로우' 전략으로 얻는 브랜딩 효과를 정량적으로 analyze.,정보,어려움,EN,iOVU,IT 굿즈,캐나다,2019-2023년,개발자 커뮤니티,2025-07-04T17:33:15.409934
iovu_20250704_173315_6508,iOVU 고객센터 연락처와 문의 방법 알려줘.,탐색,쉬움,KO,iOVU,개발자 정체성 표현,한국,2024년,깃허브 트렌드,2025-07-04T17:33:15.409934
iovu_20250704_173315_8483,iOVU 공식 GitHub 리포지토리 링크는? (https://iovu.co.kr/custom-order),탐색,쉬움,KO,iOVU,프로그래머 라이프스타일,영국,최근 5개월,IT 뉴스,2025-07-04T17:33:15.409934
iovu_20250704_173315_8703,iOVU 공식 GitHub 리포지토리 링크는?,탐색,쉬움,KO,iOVU,너디 패션,호주,2025년,개발자 커뮤니티,2025-07-04T17:33:15.409934
iovu_20250704_173315_2177,iOVU 공식 GitHub 리포지토리 링크는?,탐색,쉬움,KO,iOVU,코딩 유머 아이템,한국,2024년,개발자 커뮤니티,2025-07-04T17:33:15.409934
iovu_20250704_173315_2567,iOVU 코드 리뷰 시리즈 제품 카탈로그 어디서 볼 수 있어?,탐색,쉬움,KO,iOVU,해커톤 굿즈,영국,10년 추세(2015-2024년),개발자 커뮤니티,2025-07-04T17:33:15.409934
iovu_20250704_173315_8820,iOVU 고객센터 연락처와 문의 방법 알려줘.,탐색,쉬움,KO,iOVU,스타트업 문화,독일,2025년,IT 뉴스,2025-07-04T17:33:15.409934
iovu_20250704_173315_6914,iOVU 커스텀 제작 견적 요청 폼 위치 알려줘.,탐색,보통,KO,iOVU,개발자 정체성 표현,중국,10년 추세(2015-2024년),밈 사이트,2025-07-04T17:33:15.409934
iovu_20250704_173315_5525,개발자 대상 iOVU 제품 추천 가이드 문서 찾아줘.,탐색,보통,EN,iOVU,프로그래머 라이프스타일,독일,최근 3개월,개발자 커뮤니티,2025-07-04T17:33:15.409934
iovu_20250704_173315_7975,iOVU 커스텀 제작 견적 요청 폼 위치 알려줘.,탐색,보통,KO,iOVU,개발자 선물,캐나다,2024년,개발자 커뮤니티,2025-07-04T17:33:15.409934
iovu_20250704_173315_8714,iOVU 개발자 밈 시리즈 제품들을 한 번에 볼 수 있는 카탈로그 페이지 찾아줘.,탐색,보통,KO,iOVU,해커톤 굿즈,한국,2019-2023년,밈 사이트,2025-07-04T17:33:15.409934
iovu_20250704_173315_5246,iOVU 리팩토링 시리즈 제품들을 한 번에 볼 수 있는 카탈로그 페이지 찾아줘.,탐색,보통,KO,iOVU,개발자 선물,일본,2019-2023년,개발자 커뮤니티,2025-07-04T17:33:15.409934
iovu_20250704_173315_4822,테크 밋업 이벤트 관련 iOVU 공지사항과 참여 방법 링크는?,탐색,보통,KO,iOVU,힐링 개발템,중국,10년 추세(2015-2024년),깃허브 트렌드,2025-07-04T17:33:15.409934
iovu_20250704_173315_2687,iOVU 브랜드 파트너십 및 IT 업계 협업 제안서 템플릿 문서 위치는? (https://iovu.co.kr/collections/meme-series),탐색,어려움,KO,iOVU,밈 컬렉션,호주,2019-2023년,깃허브 트렌드,2025-07-04T17:33:15.409934
iovu_20250704_173315_8031,iOVU 테크 밋업 프로젝트의 오픈소스 기여 가이드와 개발 로드맵 문서 위치는? (https://iovu.co.kr/custom-order),탐색,어려움,EN,iOVU,코딩 유머 아이템,캐나다,10년 추세(2015-2024년),밈 사이트,2025-07-04T17:33:15.409934
iovu_20250704_173315_2887,디자인 완성도 성과 측정을 위한 iOVU 마케팅 대시보드 접근 방법은? (https://blog.iovu.co.kr/dev-culture),탐색,어려움,KO,iOVU,깃허브 문화,미국,2025년,깃허브 트렌드,2025-07-04T17:33:15.409934
iovu_20250704_173315_9894,멤버십 혜택 성과 측정을 위한 iOVU 마케팅 대시보드 접근 방법은? (https://iovu.co.kr/custom-order),탐색,어려움,EN,iOVU,프로그래머 라이프스타일,영국,2024년,밈 사이트,2025-07-04T17:33:15.409934
iovu_20250704_173315_7313,iOVU 개발자 컨퍼런스 프로젝트의 오픈소스 기여 가이드와 개발 로드맵 문서 위치는?,탐색,어려움,KO,iOVU,해커톤 굿즈,미국,2025년,깃허브 트렌드,2025-07-04T17:33:15.409934
iovu_20250704_173315_4854,UV 프린팅 프린팅 옵션으로 iOVU 스마트톡 주문 시 추가 비용은?,거래,쉬움,KO,iOVU,개발자 커뮤니티,호주,팬데믹(2020-2022년),개발자 커뮤니티,2025-07-04T17:33:15.409934
iovu_20250704_173315_2381,비닐 커팅 프린팅 옵션으로 iOVU 에코백 주문 시 추가 비용은?,거래,쉬움,KO,iOVU,힐링 개발템,미국,최근 3개월,IT 뉴스,2025-07-04T17:33:15.409934
iovu_20250704_173315_3231,iOVU 스타트업 이벤트 discount 코드 적용 방법 tell me about.,거래,쉬움,EN,iOVU,깃허브 문화,독일,최근 3개월,개발자 커뮤니티,2025-07-04T17:33:15.409934
iovu_20250704_173315_2213,iOVU 에코백 M 사이즈 지금 주문 가능해? (https://iovu.co.kr/community/github),거래,쉬움,KO,iOVU,프로그래머 라이프스타일,호주,10년 추세(2015-2024년),IT 뉴스,2025-07-04T17:33:15.409934
iovu_20250704_173315_8531,iOVU 풀스택 개발자 이벤트 할인 코드 적용 방법 알려줘.,거래,쉬움,KO,iOVU,오픈소스 굿즈,영국,최근 5개월,IT 뉴스,2025-07-04T17:33:15.409934
iovu_20250704_173315_7731,iOVU 주석 없는 코드 시리즈와 일반 제품의 가격 정책 차이점은? (https://iovu.co.kr/custom-order),거래,보통,KO,iOVU,개발자 정체성 표현,한국,팬데믹(2020-2022년),깃허브 트렌드,2025-07-04T17:33:15.409934
iovu_20250704_173315_8360,iOVU 머지 시리즈와 일반 제품의 가격 정책 차이점은?,거래,보통,KO,iOVU,개발자 커뮤니티,프랑스,2019-2023년,깃허브 트렌드,2025-07-04T17:33:15.409934
iovu_20250704_173315_5248,iOVU 다중색 프린팅 프린팅 옵션별 가격 차이와 배송 기간을 정리해줘.,거래,보통,KO,iOVU,밈 컬렉션,일본,팬데믹(2020-2022년),IT 뉴스,2025-07-04T17:33:15.409934
iovu_20250704_173315_7805,iOVU 스택오버플로우 시리즈와 일반 제품의 가격 정책 차이점은?,거래,보통,KO,iOVU,개발자 선물,중국,10년 추세(2015-2024년),깃허브 트렌드,2025-07-04T17:33:15.409934
iovu_20250704_173315_1175,iOVU UV 프린팅 프린팅 옵션별 price 차이와 shipping 기간을 정리해줘.,거래,보통,EN,iOVU,코딩 유머 아이템,캐나다,팬데믹(2020-2022년),IT 뉴스,2025-07-04T17:33:15.409934
iovu_20250704_173315_4818,대기업 기념 폰케이스 100장 주문 시 가격-마진 모델을 엑셀로 만들어줘.,거래,어려움,KO,iOVU,코딩 유머 아이템,일본,10년 추세(2015-2024년),IT 뉴스,2025-07-04T17:33:15.409934
iovu_20250704_173315_8673,iOVU 연간 구독 서비스와 단발성 구매의 ROI를 바이럴 지수 기준으로 계산해줘.,거래,어려움,KO,iOVU,개발자 커뮤니티,영국,2019-2023년,IT 뉴스,2025-07-04T17:33:15.409934
iovu_20250704_173315_8968,iOVU 비닐 커팅 프린팅 기술별 대량 주문 시 원가 구조와 최적 발주량을 분석해줘.,거래,어려움,KO,iOVU,깃허브 문화,호주,최근 3개월,밈 사이트,2025-07-04T17:33:15.409934
iovu_20250704_173315_7571,iOVU 실크스크린 프린팅 기술별 대량 주문 시 원가 구조와 최적 발주량을 분석해줘.,거래,어려움,KO,iOVU,해커톤 굿즈,중국,2019-2023년,IT 뉴스,2025-07-04T17:33:15.409934
iovu_20250704_173315_6669,프론트엔드 개발자 파트너십을 통한 iOVU 제품 유통 채널별 수익성 시뮬레이션해줘.,거래,어려움,KO,iOVU,IT 굿즈,영국,2025년,개발자 커뮤니티,2025-07-04T17:33:15.409934
