prompt,query,sample_id,template_used,어절수,고유단어수,URL포함,상품속성포함,extracted_keywords_practice_area,extracted_keywords_region,extracted_keywords_metric,extracted_keywords_intent,extracted_keywords_difficulty,final_parameters_practice_area,final_parameters_metric,final_parameters_region,final_parameters_time_span,final_parameters_source_hint,final_parameters_language_ratio,final_parameters_intent,final_parameters_difficulty,brand_info_name,brand_info_description,brand_info_website,brand_info_slogan,brand_info_concept,brand_info_target,brand_info_specialties,brand_info_products,brand_info_features
전문적인 독특한 고품질 실용적인 트렌디한 iOVU 개발자라이프 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://github.com/iovu-official 참고하세요,전문적인 독특한 고품질 실용적인 트렌디한 iOVU 개발자라이프 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://github.com/iovu-official 참고하세요,iovu_optimized_v3_0011,iOVU {meme} 컨셉이 무엇인지 설명해주세요,15,17,True,False,개발자라이프 노트북스티커,독일,열전사,정보,쉬움,개발자라이프 노트북스티커,열전사,독일,최근 1년,GitHub,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Debug & Chill,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
고품질 매력적인 창의적인 후드티 디지털프린팅으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://iovu-shop.vercel.app/ 참고하세요,고품질 매력적인 창의적인 후드티 디지털프린팅으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://iovu-shop.vercel.app/ 참고하세요,iovu_optimized_v3_0012,{core_attr} {printing}으로 제작된 iOVU 제품 정보 알려주세요,15,17,True,True,프로그래머유머 후드티,베트남,디지털프린팅,정보,쉬움,프로그래머유머 후드티,디지털프린팅,베트남,최근 3개월,디스코드,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Dev + Cute = iOVU,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
세련된 혁신적인 고품질 독특한 전문적인 iOVU 개발자정체성 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,세련된 혁신적인 고품질 독특한 전문적인 iOVU 개발자정체성 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,iovu_optimized_v3_0013,iOVU {meme} 컨셉이 무엇인지 설명해주세요,15,18,True,False,개발자정체성 컬러,호주,디지털프린팅,정보,쉬움,개발자정체성 컬러,디지털프린팅,호주,올해,iOVU 공식몰,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
독특한 전문적인 고품질 매력적인 현대적인 맨투맨에 적용된 실크스크린 기술이 뭔가요? 더 자세한 정보는 https://instagram.com/iovu_official 참고하세요,독특한 전문적인 고품질 매력적인 현대적인 맨투맨에 적용된 실크스크린 기술이 뭔가요? 더 자세한 정보는 https://instagram.com/iovu_official 참고하세요,iovu_optimized_v3_0014,{core_attr}에 적용된 {printing} 기술이 뭔가요?,15,17,True,True,너드패션 맨투맨,대만,실크스크린,정보,쉬움,너드패션 맨투맨,실크스크린,대만,최근 1년,GitHub,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,밈도 입는 시대,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
전문적인 실용적인 세련된 독특한 창의적인 iOVU 힐링템 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://instagram.com/iovu_official 참고하세요,전문적인 실용적인 세련된 독특한 창의적인 iOVU 힐링템 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://instagram.com/iovu_official 참고하세요,iovu_optimized_v3_0015,iOVU {meme} 컨셉이 무엇인지 설명해주세요,15,17,True,False,힐링템 프린팅,중국,고품질프린팅,정보,쉬움,힐링템 프린팅,고품질프린팅,중국,2024년,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,밈도 입는 시대,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
현대적인 혁신적인 고품질 머그컵 디지털프린팅으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://github.com/iovu-official 참고하세요,현대적인 혁신적인 고품질 머그컵 디지털프린팅으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://github.com/iovu-official 참고하세요,iovu_optimized_v3_0016,{core_attr} {printing}으로 제작된 iOVU 제품 정보 알려주세요,15,17,True,False,프로그래머유머 머그컵,한국,디지털프린팅,정보,쉬움,프로그래머유머 머그컵,디지털프린팅,한국,최근 3개월,iOVU 공식몰,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Debug & Chill,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
트렌디한 현대적인 실용적인 고품질 매력적인 키링에 적용된 내구성프린팅 기술이 뭔가요? 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,트렌디한 현대적인 실용적인 고품질 매력적인 키링에 적용된 내구성프린팅 기술이 뭔가요? 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,iovu_optimized_v3_0017,{core_attr}에 적용된 {printing} 기술이 뭔가요?,15,19,True,False,개발자밈 키링,호주,내구성프린팅,정보,쉬움,개발자밈 키링,내구성프린팅,호주,2024년,GitHub,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,코드를 입다,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
트렌디한 혁신적인 세련된 후드티 고품질프린팅으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://iovu-shop.vercel.app/collections 참고하세요,트렌디한 혁신적인 세련된 후드티 고품질프린팅으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://iovu-shop.vercel.app/collections 참고하세요,iovu_optimized_v3_0018,{core_attr} {printing}으로 제작된 iOVU 제품 정보 알려주세요,15,18,True,True,코딩라이프 후드티,일본,고품질프린팅,정보,쉬움,코딩라이프 후드티,고품질프린팅,일본,올해,GitHub,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,코드를 입다,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
트렌디한 고품질 매력적인 품질 Sublimation으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://instagram.com/iovu_official 참고하세요,트렌디한 고품질 매력적인 품질 Sublimation으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://instagram.com/iovu_official 참고하세요,iovu_optimized_v3_0019,{core_attr} {printing}으로 제작된 iOVU 제품 정보 알려주세요,15,17,True,False,너드패션 품질,캐나다,Sublimation,정보,쉬움,너드패션 품질,Sublimation,캐나다,최근 1년,디스코드,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,코드를 입다,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
고품질 전문적인 iOVU IN OUR VIVID UNIVERSE 슬로건의 의미가 뭐에요? 더 자세한 정보는 https://iovu-shop.vercel.app/collections 참고하세요,고품질 전문적인 iOVU IN OUR VIVID UNIVERSE 슬로건의 의미가 뭐에요? 더 자세한 정보는 https://iovu-shop.vercel.app/collections 참고하세요,iovu_optimized_v3_0020,iOVU {slogan} 슬로건의 의미가 뭐에요?,15,18,True,False,프로그래밍문화 사이즈,한국,고품질프린팅,정보,쉬움,프로그래밍문화 사이즈,고품질프린팅,한국,최근 1년,iOVU 공식몰,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,IN OUR VIVID UNIVERSE,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
전문적인 현대적인 고품질 독특한 트렌디한 iOVU 너디감성 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,전문적인 현대적인 고품질 독특한 트렌디한 iOVU 너디감성 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,iovu_optimized_v3_0021,iOVU {meme} 컨셉이 무엇인지 설명해주세요,15,18,True,False,너디감성 토트백,독일,고품질프린팅,정보,쉬움,너디감성 토트백,고품질프린팅,독일,올해,iOVU 공식몰,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
트렌디한 전문적인 세련된 독특한 매력적인 키링에 적용된 친환경프린팅 기술이 뭔가요? 더 자세한 정보는 https://discord.gg/iovu 참고하세요,트렌디한 전문적인 세련된 독특한 매력적인 키링에 적용된 친환경프린팅 기술이 뭔가요? 더 자세한 정보는 https://discord.gg/iovu 참고하세요,iovu_optimized_v3_0022,{core_attr}에 적용된 {printing} 기술이 뭔가요?,15,17,True,False,밈컬렉션 키링,호주,친환경프린팅,정보,쉬움,밈컬렉션 키링,친환경프린팅,호주,최근 1년,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
고품질 매력적인 세련된 키링 친환경프린팅으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://discord.gg/iovu 참고하세요,고품질 매력적인 세련된 키링 친환경프린팅으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://discord.gg/iovu 참고하세요,iovu_optimized_v3_0023,{core_attr} {printing}으로 제작된 iOVU 제품 정보 알려주세요,15,16,True,False,긱문화 키링,독일,친환경프린팅,정보,쉬움,긱문화 키링,친환경프린팅,독일,2024년,iOVU 공식몰,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Nerdy is the new cool,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
실용적인 매력적인 고품질 맨투맨 다중색으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://iovu-shop.vercel.app/collections 참고하세요,실용적인 매력적인 고품질 맨투맨 다중색으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://iovu-shop.vercel.app/collections 참고하세요,iovu_optimized_v3_0024,{core_attr} {printing}으로 제작된 iOVU 제품 정보 알려주세요,15,18,True,True,긱문화 맨투맨,싱가포르,다중색,정보,쉬움,긱문화 맨투맨,다중색,싱가포르,최근 1년,디스코드,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Developer Fashion,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
실용적인 트렌디한 매력적인 소재 열전사으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,실용적인 트렌디한 매력적인 소재 열전사으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,iovu_optimized_v3_0025,{core_attr} {printing}으로 제작된 iOVU 제품 정보 알려주세요,15,18,True,False,프로그래머유머 소재,호주,열전사,정보,쉬움,프로그래머유머 소재,열전사,호주,2024년,GitHub,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Debug & Chill,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
고품질 혁신적인 실용적인 iOVU 밈도 입는 시대 슬로건의 의미가 뭐에요? 더 자세한 정보는 https://instagram.com/iovu_official 참고하세요,고품질 혁신적인 실용적인 iOVU 밈도 입는 시대 슬로건의 의미가 뭐에요? 더 자세한 정보는 https://instagram.com/iovu_official 참고하세요,iovu_optimized_v3_0026,iOVU {slogan} 슬로건의 의미가 뭐에요?,15,17,True,False,프로그래밍문화 색상,독일,고품질프린팅,정보,쉬움,프로그래밍문화 색상,고품질프린팅,독일,올해,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,밈도 입는 시대,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
세련된 혁신적인 창의적인 실용적인 iOVU 코드를 입다 슬로건의 의미가 뭐에요? 더 자세한 정보는 https://discord.gg/iovu 참고하세요,세련된 혁신적인 창의적인 실용적인 iOVU 코드를 입다 슬로건의 의미가 뭐에요? 더 자세한 정보는 https://discord.gg/iovu 참고하세요,iovu_optimized_v3_0027,iOVU {slogan} 슬로건의 의미가 뭐에요?,15,16,True,False,개발자감성 사이즈,일본,실크스크린,정보,쉬움,개발자감성 사이즈,실크스크린,일본,최근 3개월,디스코드,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,코드를 입다,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
