question,intent,difficulty,domain,lang,original_index,practice_area,region,firm_name,eval_pass,eval_score,eval_reason,eval_timestamp,eval_raw
(부산)에서 (개인정보보호) 전문 변호사의 (서비스품질)와 (부산법원) 정보를 종합해서 설명해주세요.,정보조회,보통,동래,KO,10,개인정보보호,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:26:54.431075,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(지적재산권) 사건의 (법적정확성) 기준과 (부산) 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요.,거래상담,보통,동래,KO,11,지적재산권,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:26:55.670801,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(2024년) 기준 (부산) (기업법무) 변호사 (시간당비용) 평균은?,거래상담,보통,동래,KO,12,기업법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:26:56.889691,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
법무법인 동래에서 (계약법무) 사건의 (서비스품질)와 서비스 내용을 상담받고 싶습니다.,거래상담,보통,동래,KO,13,계약법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:26:58.106804,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(최근3년) 기준 (부산) (개인정보보호) 분야의 (승소율)를 알려줘.,정보조회,보통,동래,KO,14,개인정보보호,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:26:59.368377,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(2019-2023년) 기준 (부산) (건설인프라법무) 분야의 (고객대응품질)를 알려줘.,정보조회,보통,동래,KO,15,건설인프라법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:00.594897,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(계약법무) 사건의 (브랜드인지도) 기준과 (부산) 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요.,거래상담,보통,동래,KO,16,계약법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:01.884685,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
법무법인 동래에서 (환경법무) 사건의 (법적정확성)와 서비스 내용을 상담받고 싶습니다.,거래상담,보통,동래,KO,17,환경법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:03.120249,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(2024년) 기준 (부산) (환경법무) 변호사 (시설규모) 평균은?,거래상담,보통,동래,KO,18,환경법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:04.372989,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(최근5년) 기준 (부산) (계약법무) 분야의 (지원인력)를 알려줘.,정보조회,보통,동래,KO,19,계약법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:05.673830,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(지적재산권) 관련 (서비스품질) 통계를 (팬데믹이후) 기간으로 정리해주세요.,정보조회,보통,동래,KO,20,지적재산권,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:06.987007,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
법무법인 동래에서 (건설인프라법무) 사건의 (전문성)와 서비스 내용을 상담받고 싶습니다.,거래상담,보통,동래,KO,21,건설인프라법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:08.249860,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(2025년) 기준 (부산) (IT통신법무) 변호사 (시장점유율) 평균은?,거래상담,보통,동래,KO,22,IT통신법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:09.507054,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(소송및분쟁해결) 사건의 (사건처리속도) 기준과 (부산) 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요.,거래상담,보통,동래,KO,23,소송및분쟁해결,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:10.743172,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(지적재산권) 관련 (착수금) 통계를 (최근5년) 기간으로 정리해주세요.,정보조회,보통,동래,KO,24,지적재산권,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:11.983856,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(부울경) (소송및분쟁해결) 변호사 (시간당비용)가 보통 얼마인가요?,정보조회,쉬움,동래,KO,25,소송및분쟁해결,부울경,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:13.208399,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(2019-2023년) 기준 (경남) (금융법무) 변호사 (변호사인원) 평균은?,거래상담,보통,동래,KO,26,금융법무,경남,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:14.441810,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(팬데믹이후) 기준 (부산해운대) (형사법무) 변호사 (브랜드인지도) 평균은?,거래상담,보통,동래,KO,27,형사법무,부산해운대,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:15.660037,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
법무법인 동래에서 (소송및분쟁해결) 사건의 (전문성)와 서비스 내용을 상담받고 싶습니다.,거래상담,보통,동래,KO,28,소송및분쟁해결,경남,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:16.873894,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(개인정보보호) 관련 (시간당비용) 통계를 (2019-2023년) 기간으로 정리해주세요.,정보조회,보통,동래,KO,29,개인정보보호,김해,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:18.132710,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(조세법무) 관련 (총비용) 통계를 (2025년) 기간으로 정리해주세요.,정보조회,보통,동래,KO,30,조세법무,창원,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:19.338088,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(10년추세) 기준 (김해) (환경법무) 변호사 (법적정확성) 평균은?,거래상담,보통,동래,KO,31,환경법무,김해,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:20.627921,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
법무법인 동래에서 (지적재산권) 사건의 (총비용)와 서비스 내용을 상담받고 싶습니다.,거래상담,보통,동래,KO,32,지적재산권,김해,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:22.083690,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(소송및분쟁해결) 사건의 (시간당비용) 기준과 (부울경) 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요.,거래상담,보통,동래,KO,33,소송및분쟁해결,부울경,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:23.310018,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(부산서면)에서 (조세법무) 전문 변호사의 (시간당비용)와 (대한변협) 정보를 종합해서 설명해주세요.,정보조회,보통,동래,KO,34,조세법무,부산서면,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:24.655208,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(최근5년) 기준 (부울경) (의료헬스케어법무) 분야의 (수임료)를 알려줘.,정보조회,보통,동래,KO,35,의료헬스케어법무,부울경,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:25.870799,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(건설인프라법무) 사건의 (고객만족도) 기준과 (김해) 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요.,거래상담,보통,동래,KO,36,건설인프라법무,김해,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:27.095370,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(최근3년) 기준 (경남) (소송및분쟁해결) 변호사 (총비용) 평균은?,거래상담,보통,동래,KO,37,소송및분쟁해결,경남,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:28.377356,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(2025년) 기준 (양산) (형사법무) 변호사 (승소율) 평균은?,거래상담,보통,동래,KO,38,형사법무,양산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:29.597246,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(2025년) 기준 (김해) (노동법무) 분야의 (고객대응품질)를 알려줘.,정보조회,보통,동래,KO,39,노동법무,김해,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:30.816493,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(경남)에서 (금융법무) 전문 변호사의 (사건처리속도)와 (부산법원) 정보를 종합해서 설명해주세요.,정보조회,보통,동래,KO,40,금융법무,경남,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:32.049468,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(2019-2023년) 기준 (양산) (지적재산권) 변호사 (고객만족도) 평균은?,거래상담,보통,동래,KO,41,지적재산권,양산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:33.271280,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(2024년) 기준 (부울경) (형사법무) 변호사 (법적정확성) 평균은?,거래상담,보통,동래,KO,42,형사법무,부울경,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:34.559852,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(2025년) 기준 (창원) (건설인프라법무) 변호사 (브랜드인지도) 평균은?,거래상담,보통,동래,KO,43,건설인프라법무,창원,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:35.785875,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(지적재산권) 관련 (서비스품질) 통계를 (10년추세) 기간으로 정리해주세요.,정보조회,보통,동래,KO,44,지적재산권,창원,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:37.232381,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(형사법무) 관련 (파트너수) 통계를 (2019-2023년) 기간으로 정리해주세요.,정보조회,보통,동래,KO,45,형사법무,울산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:38.468901,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(의료헬스케어법무) 사건의 (사건처리속도) 기준과 (부산해운대) 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요.,거래상담,보통,동래,KO,46,의료헬스케어법무,부산해운대,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:39.694049,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(최근5년) 기준 (부울경) (소송및분쟁해결) 변호사 (브랜드인지도) 평균은?,거래상담,보통,동래,KO,47,소송및분쟁해결,부울경,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:40.956102,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(2024년) 기준 (부산) (IT통신법무) 변호사 (수임료) 평균은?,거래상담,보통,동래,KO,48,IT통신법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:42.344717,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(부산해운대)에서 (노동법무) 전문 변호사의 (변호사인원)와 (대법원) 정보를 종합해서 설명해주세요.,정보조회,보통,동래,KO,49,노동법무,부산해운대,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:43.573375,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(부울경)에서 (소송및분쟁해결) 전문 변호사의 (법적정확성)와 (부산법원) 정보를 종합해서 설명해주세요.,정보조회,보통,동래,KO,50,소송및분쟁해결,부울경,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:44.806137,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
(10년추세) 기준 (부산해운대) (노동법무) 변호사 (승소율) 평균은?,거래상담,보통,동래,KO,51,노동법무,부산해운대,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T16:27:46.035277,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
