prompt,query,sample_id,template_used,extracted_keywords_practice_area,extracted_keywords_region,extracted_keywords_metric,extracted_keywords_intent,extracted_keywords_difficulty,final_parameters_practice_area,final_parameters_metric,final_parameters_region,final_parameters_time_span,final_parameters_source_hint,final_parameters_language_ratio,final_parameters_intent,final_parameters_difficulty,brand_info_name,brand_info_english_name,brand_info_website,brand_info_location,brand_info_phone,brand_info_established,brand_info_experience,brand_info_specialties,brand_info_slogan,brand_info_target_regions
부산 조세법무 관련 승소율 정보를 알려주세요,신속하게 부산에서 교통사고 변호사를 찾고 있어요,clean_prompt_0016,부산 조세법무 관련 승소율 정보를 알려주세요,,부산,,정보조회,보통,조세법무,승소율,부산,2025년,KISDI,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 기업법무 관련 변호사인원 정보를 알려주세요,신속하게 부산에서 교통사고 변호사를 찾고 있어요 도움주세요,clean_prompt_0017,부산 기업법무 관련 변호사인원 정보를 알려주세요,,부산,,거래상담,보통,기업법무,변호사인원,부산,팬데믹이후,부산지방법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 건설인프라법무 관련 변호사인원 정보를 알려주세요,신속하게 부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요,clean_prompt_0018,부산 건설인프라법무 관련 변호사인원 정보를 알려주세요,,부산,,거래상담,보통,건설인프라법무,변호사인원,부산,2024년,법원행정처,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 지적재산권 관련 전문인력 정보를 알려주세요,신속하게 부산에서 교통사고 변호사를 찾고 있어요 문의드려요,clean_prompt_0019,부산 지적재산권 관련 전문인력 정보를 알려주세요,,부산,,거래상담,보통,지적재산권,전문인력,부산,2024년,대한변협,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 조세법무 관련 사건처리속도 정보를 알려주세요,신속하게 부산에서 교통사고 변호사를 찾고 있어요 알려주세요,clean_prompt_0020,부산 조세법무 관련 사건처리속도 정보를 알려주세요,,부산,,정보조회,보통,조세법무,사건처리속도,부산,최근5년,법원행정처,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 조세법무 관련 착수금 정보를 알려주세요,정확하게 부산에서 교통사고 변호사를 찾고 있어요,clean_prompt_0021,부산 조세법무 관련 착수금 정보를 알려주세요,,부산,,정보조회,보통,조세법무,착수금,부산,10년추세,법원행정처,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 부동산법무 관련 브랜드인지도 정보를 알려주세요,정확하게 부산에서 교통사고 변호사를 찾고 있어요 도움주세요,clean_prompt_0022,부산 부동산법무 관련 브랜드인지도 정보를 알려주세요,,부산,,거래상담,보통,부동산법무,브랜드인지도,부산,2025년,KISDI,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 부동산법무 관련 승소율 정보를 알려주세요,정확하게 부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요,clean_prompt_0023,부산 부동산법무 관련 승소율 정보를 알려주세요,,부산,,거래상담,보통,부동산법무,승소율,부산,팬데믹이후,법률신문,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 지적재산권 관련 성공보수 정보를 알려주세요,정확하게 부산에서 교통사고 변호사를 찾고 있어요 문의드려요,clean_prompt_0024,부산 지적재산권 관련 성공보수 정보를 알려주세요,,부산,,거래상담,보통,지적재산권,성공보수,부산,10년추세,부산지법,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 금융법무 관련 전문인력 정보를 알려주세요,정확하게 부산에서 교통사고 변호사를 찾고 있어요 알려주세요,clean_prompt_0025,부산 금융법무 관련 전문인력 정보를 알려주세요,,부산,,정보조회,보통,금융법무,전문인력,부산,최근5년,부산법원,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부동산법무 사건의 착수금는 대략 어느 정도인가요?,이혼 절차와 비용이 궁금합니다,clean_prompt_0026,부동산법무 사건의 착수금는 대략 어느 정도인가요?,,,,정보조회,쉬움,부동산법무,착수금,부울경,10년추세,대한변협,KO 0.9 : EN 0.1,정보조회,쉬움,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산서면 노동법무 관련 전문인력 정보를 알려주세요,이혼 절차와 비용이 궁금합니다 도움주세요,clean_prompt_0027,부산서면 노동법무 관련 전문인력 정보를 알려주세요,,,,거래상담,보통,노동법무,전문인력,부산서면,최근3년,부산지법,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산해운대 금융법무 관련 전문인력 정보를 알려주세요,이혼 절차와 비용이 궁금합니다 상담받고 싶어요,clean_prompt_0028,부산해운대 금융법무 관련 전문인력 정보를 알려주세요,,,,거래상담,보통,금융법무,전문인력,부산해운대,최근5년,부산지법,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
김해 개인정보보호 관련 시장점유율 정보를 알려주세요,이혼 절차와 비용이 궁금합니다 문의드려요,clean_prompt_0029,김해 개인정보보호 관련 시장점유율 정보를 알려주세요,,,,거래상담,보통,개인정보보호,시장점유율,김해,10년추세,대한변협,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
김해 건설인프라법무 관련 수임료 정보를 알려주세요,이혼 절차와 비용이 궁금합니다 알려주세요,clean_prompt_0030,김해 건설인프라법무 관련 수임료 정보를 알려주세요,,,,정보조회,보통,건설인프라법무,수임료,김해,10년추세,대법원,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 노동법무 관련 성공보수 정보를 알려주세요,급하게 이혼 절차와 비용이 궁금합니다,clean_prompt_0031,부산 노동법무 관련 성공보수 정보를 알려주세요,,,,정보조회,보통,노동법무,성공보수,부산,2025년,부산법원,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 IT통신법무 관련 고객대응품질 정보를 알려주세요,급하게 이혼 절차와 비용이 궁금합니다 도움주세요,clean_prompt_0032,부산 IT통신법무 관련 고객대응품질 정보를 알려주세요,,,,거래상담,보통,IT통신법무,고객대응품질,부산,2019-2023년,부산변협,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산연제구 의료헬스케어법무 관련 시간당비용 정보를 알려주세요,급하게 이혼 절차와 비용이 궁금합니다 상담받고 싶어요,clean_prompt_0033,부산연제구 의료헬스케어법무 관련 시간당비용 정보를 알려주세요,,,,거래상담,보통,의료헬스케어법무,시간당비용,부산연제구,2024년,법원행정처,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산해운대 건설인프라법무 관련 승소율 정보를 알려주세요,급하게 이혼 절차와 비용이 궁금합니다 문의드려요,clean_prompt_0034,부산해운대 건설인프라법무 관련 승소율 정보를 알려주세요,,,,거래상담,보통,건설인프라법무,승소율,부산해운대,팬데믹이후,부산지방법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
경남 환경법무 관련 승소율 정보를 알려주세요,급하게 이혼 절차와 비용이 궁금합니다 알려주세요,clean_prompt_0035,경남 환경법무 관련 승소율 정보를 알려주세요,,,,정보조회,보통,환경법무,승소율,경남,10년추세,KISDI,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
울산 금융법무 관련 해결율 정보를 알려주세요,전문적으로 이혼 절차와 비용이 궁금합니다,clean_prompt_0036,울산 금융법무 관련 해결율 정보를 알려주세요,,,,정보조회,보통,금융법무,해결율,울산,최근3년,부산법원,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
울산 의료헬스케어법무 관련 파트너수 정보를 알려주세요,전문적으로 이혼 절차와 비용이 궁금합니다 도움주세요,clean_prompt_0037,울산 의료헬스케어법무 관련 파트너수 정보를 알려주세요,,,,거래상담,보통,의료헬스케어법무,파트너수,울산,최근5년,법원행정처,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부울경 부동산법무 관련 고객대응품질 정보를 알려주세요,전문적으로 이혼 절차와 비용이 궁금합니다 상담받고 싶어요,clean_prompt_0038,부울경 부동산법무 관련 고객대응품질 정보를 알려주세요,,,,거래상담,보통,부동산법무,고객대응품질,부울경,최근5년,부산변협,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산서면 환경법무 관련 성공보수 정보를 알려주세요,전문적으로 이혼 절차와 비용이 궁금합니다 문의드려요,clean_prompt_0039,부산서면 환경법무 관련 성공보수 정보를 알려주세요,,,,거래상담,보통,환경법무,성공보수,부산서면,최근5년,법원행정처,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
창원 의료헬스케어법무 관련 성공보수 정보를 알려주세요,전문적으로 이혼 절차와 비용이 궁금합니다 알려주세요,clean_prompt_0040,창원 의료헬스케어법무 관련 성공보수 정보를 알려주세요,,,,정보조회,보통,의료헬스케어법무,성공보수,창원,최근3년,부산변협,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부울경 계약법무 관련 승소율 정보를 알려주세요,신속하게 이혼 절차와 비용이 궁금합니다,clean_prompt_0041,부울경 계약법무 관련 승소율 정보를 알려주세요,,,,정보조회,보통,계약법무,승소율,부울경,최근5년,부산지법,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
양산 건설인프라법무 관련 해결율 정보를 알려주세요,신속하게 이혼 절차와 비용이 궁금합니다 도움주세요,clean_prompt_0042,양산 건설인프라법무 관련 해결율 정보를 알려주세요,,,,거래상담,보통,건설인프라법무,해결율,양산,2024년,대한변협,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산서면 의료헬스케어법무 관련 해결율 정보를 알려주세요,신속하게 이혼 절차와 비용이 궁금합니다 상담받고 싶어요,clean_prompt_0043,부산서면 의료헬스케어법무 관련 해결율 정보를 알려주세요,,,,거래상담,보통,의료헬스케어법무,해결율,부산서면,2024년,대법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
