prompt,extracted_keywords_practice_area,extracted_keywords_country,extracted_keywords_metric,extracted_keywords_intent,extracted_keywords_difficulty,final_parameters_practice_area,final_parameters_metric,final_parameters_country,final_parameters_time_span,final_parameters_source_hint,final_parameters_language_ratio,final_parameters_intent,final_parameters_difficulty,template_used,brand_info_name,brand_info_description,brand_info_website,brand_info_slogan,brand_info_concept,brand_info_target,brand_info_specialties,brand_info_products,sample_id,query
2025년 기준 일본 코딩 유머 아이템 프린팅 품질 평균 가격은?,코딩 유머 아이템,일본,,거래,보통,코딩 유머 아이템,프린팅 품질,일본,2025년,IT 뉴스,KO 0.8 : EN 0.2,거래,보통,2025년 기준 일본 코딩 유머 아이템 프린팅 품질 평균 가격은?,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0011,일본에서 코딩 유머 아이템 가격이 궁금해요 도움주세요
일본에서 힐링 개발템 브랜드를 개발자 커뮤니티 반응 기준으로 비교해주세요,힐링 개발템,일본,,탐색,보통,힐링 개발템,개발자 커뮤니티 반응,일본,최근 5개월,깃허브 트렌드,KO 0.8 : EN 0.2,탐색,보통,일본에서 힐링 개발템 브랜드를 개발자 커뮤니티 반응 기준으로 비교해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0012,일본에서 트렌디하게 힐링 개발템 어디서 사나요
일본에서 코딩 유머 아이템 할인율가 보통 얼마인가요?,코딩 유머 아이템,,,정보,쉬움,코딩 유머 아이템,할인율,일본,10년 추세(2015-2024년),개발자 커뮤니티,KO 0.8 : EN 0.2,정보,쉬움,일본에서 코딩 유머 아이템 할인율가 보통 얼마인가요?,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0013,스타트업 문화 아이템 커스터마이징
팬데믹(2020-2022년) 기준 영국 코딩 유머 아이템 바이럴 지수 평균 가격은?,코딩 유머 아이템,,,거래,보통,코딩 유머 아이템,바이럴 지수,영국,팬데믹(2020-2022년),깃허브 트렌드,KO 0.8 : EN 0.2,거래,보통,팬데믹(2020-2022년) 기준 영국 코딩 유머 아이템 바이럴 지수 평균 가격은?,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0014,트렌디하게 코딩 유머 아이템 가격이 궁금해요 문의드려요
깃허브 트렌드에서 추천하는 프로그래머 라이프스타일 제품 구매 전략,프로그래머 라이프스타일,,,거래,보통,프로그래머 라이프스타일,디자인 완성도,한국,10년 추세(2015-2024년),깃허브 트렌드,KO 0.8 : EN 0.2,거래,보통,깃허브 트렌드에서 추천하는 프로그래머 라이프스타일 제품 구매 전략,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0015,급하게 프로그래머 라이프스타일 제품 문의 문의드려요
iOVU에서 개발자 밈 굿즈 제품의 커뮤니티 참여도와 서비스 내용을 상담받고 싶습니다,개발자 밈 굿즈,일본,,거래,보통,개발자 밈 굿즈,커뮤니티 참여도,일본,최근 5개월,밈 사이트,KO 0.8 : EN 0.2,거래,보통,iOVU에서 개발자 밈 굿즈 제품의 커뮤니티 참여도와 서비스 내용을 상담받고 싶습니다,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0016,일본에서 깃허브 문화 굿즈 주문하고 싶어요 도움주세요
바이럴 지수를 고려한 코딩 유머 아이템 최적 구매 옵션,코딩 유머 아이템,,,거래,보통,코딩 유머 아이템,바이럴 지수,한국,2024년,IT 뉴스,KO 0.8 : EN 0.2,거래,보통,바이럴 지수를 고려한 코딩 유머 아이템 최적 구매 옵션,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0017,트렌디하게 스타트업 문화 아이템 커스터마이징 문의드려요
최근 5개월 기준 미국 프로그래머 라이프스타일 배송비 평균 가격은?,프로그래머 라이프스타일,미국,,거래,보통,프로그래머 라이프스타일,배송비,미국,최근 5개월,개발자 커뮤니티,KO 0.8 : EN 0.2,거래,보통,최근 5개월 기준 미국 프로그래머 라이프스타일 배송비 평균 가격은?,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0018,미국에서 전문적으로 프로그래머 라이프스타일 제품 문의 알려주세요
할인율를 고려한 개발자 밈 굿즈 최적 구매 옵션,개발자 밈 굿즈,,,거래,보통,개발자 밈 굿즈,할인율,캐나다,2019-2023년,밈 사이트,KO 0.8 : EN 0.2,거래,보통,할인율를 고려한 개발자 밈 굿즈 최적 구매 옵션,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0019,해커톤 굿즈 대량 구매 가능한가요 상담받고 싶어요
한국에서 너디 패션 브랜드를 제품 가격 기준으로 비교해주세요,너디 패션,한국,,탐색,보통,너디 패션,제품 가격,한국,10년 추세(2015-2024년),개발자 커뮤니티,KO 0.8 : EN 0.2,탐색,보통,한국에서 너디 패션 브랜드를 제품 가격 기준으로 비교해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0020,한국에서 전문적으로 너디 패션 브랜드 추천해주세요 문의드려요
개발자 커뮤니티에서 인기 있는 너디 패션 브랜드들의 할인율 비교,너디 패션,한국,,탐색,보통,너디 패션,할인율,한국,2024년,개발자 커뮤니티,KO 0.8 : EN 0.2,탐색,보통,개발자 커뮤니티에서 인기 있는 너디 패션 브랜드들의 할인율 비교,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0021,한국에서 트렌디하게 너디 패션 브랜드 추천해주세요 상담받고 싶어요
개발자 밈 굿즈 제품의 커뮤니티 참여도 기준과 호주 배송을 고려한 구매 가이드,개발자 밈 굿즈,,,거래,보통,개발자 밈 굿즈,커뮤니티 참여도,호주,2025년,밈 사이트,KO 0.8 : EN 0.2,거래,보통,개발자 밈 굿즈 제품의 커뮤니티 참여도 기준과 호주 배송을 고려한 구매 가이드,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0022,급하게 깃허브 문화 굿즈 주문하고 싶어요 문의드려요
팬데믹(2020-2022년) 힐링 개발템 트렌드를 반영한 브랜드 추천,힐링 개발템,한국,,탐색,보통,힐링 개발템,개발자 커뮤니티 반응,한국,팬데믹(2020-2022년),깃허브 트렌드,KO 0.8 : EN 0.2,탐색,보통,팬데믹(2020-2022년) 힐링 개발템 트렌드를 반영한 브랜드 추천,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0023,한국에서 전문적으로 힐링 개발템 어디서 사나요
코딩 유머 아이템 제품의 내구성 기준과 일본 배송을 고려한 구매 가이드,코딩 유머 아이템,일본,,거래,보통,코딩 유머 아이템,내구성,일본,2025년,깃허브 트렌드,KO 0.8 : EN 0.2,거래,보통,코딩 유머 아이템 제품의 내구성 기준과 일본 배송을 고려한 구매 가이드,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0024,일본에서 스타트업 문화 아이템 커스터마이징 도움주세요
개발자 밈 굿즈 제품의 멤버십 혜택 기준과 한국 배송을 고려한 구매 가이드,개발자 밈 굿즈,한국,,거래,보통,개발자 밈 굿즈,멤버십 혜택,한국,최근 3개월,밈 사이트,KO 0.8 : EN 0.2,거래,보통,개발자 밈 굿즈 제품의 멤버십 혜택 기준과 한국 배송을 고려한 구매 가이드,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0025,한국에서 고품질로 개발자 밈 굿즈 찾고 있어요 문의드려요
최근 5개월 기준 미국 프로그래머 라이프스타일 할인율 평균 가격은?,프로그래머 라이프스타일,,,거래,보통,프로그래머 라이프스타일,할인율,미국,최근 5개월,깃허브 트렌드,KO 0.8 : EN 0.2,거래,보통,최근 5개월 기준 미국 프로그래머 라이프스타일 할인율 평균 가격은?,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0026,글로벌에서 고품질로 프로그래머 라이프스타일 제품 문의
팬데믹(2020-2022년) 기간 영국 너디 패션 상위 브랜드를 커뮤니티 참여도 기준으로 정리해주세요,너디 패션,,,탐색,보통,너디 패션,커뮤니티 참여도,영국,팬데믹(2020-2022년),개발자 커뮤니티,KO 0.8 : EN 0.2,탐색,보통,팬데믹(2020-2022년) 기간 영국 너디 패션 상위 브랜드를 커뮤니티 참여도 기준으로 정리해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0027,너디 패션 브랜드 추천해주세요 문의드려요
개발자 밈 굿즈 분야에서 개발자 커뮤니티 반응가 우수한 브랜드를 추천해주세요,개발자 밈 굿즈,,,탐색,보통,개발자 밈 굿즈,개발자 커뮤니티 반응,프랑스,팬데믹(2020-2022년),IT 뉴스,KO 0.8 : EN 0.2,탐색,보통,개발자 밈 굿즈 분야에서 개발자 커뮤니티 반응가 우수한 브랜드를 추천해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0028,글로벌에서 고품질로 개발자 정체성 표현 굿즈 추천 상담받고 싶어요
2019-2023년 개발자 밈 굿즈 트렌드를 반영한 브랜드 추천,개발자 밈 굿즈,미국,,탐색,보통,개발자 밈 굿즈,재고 관리,미국,2019-2023년,개발자 커뮤니티,KO 0.8 : EN 0.2,탐색,보통,2019-2023년 개발자 밈 굿즈 트렌드를 반영한 브랜드 추천,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0029,미국에서 전문적으로 개발자 정체성 표현 굿즈 추천 문의드려요
미국에서 개발자 밈 굿즈 브랜드를 배송 속도 기준으로 비교해주세요,개발자 밈 굿즈,미국,,탐색,보통,개발자 밈 굿즈,배송 속도,미국,10년 추세(2015-2024년),개발자 커뮤니티,KO 0.8 : EN 0.2,탐색,보통,미국에서 개발자 밈 굿즈 브랜드를 배송 속도 기준으로 비교해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0030,미국에서 전문적으로 개발자 정체성 표현 굿즈 추천
IT 뉴스에서 추천하는 개발자 밈 굿즈 제품 구매 전략,개발자 밈 굿즈,한국,,거래,보통,개발자 밈 굿즈,재고 관리,한국,2019-2023년,IT 뉴스,KO 0.8 : EN 0.2,거래,보통,IT 뉴스에서 추천하는 개발자 밈 굿즈 제품 구매 전략,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0031,한국에서 개발자 밈 굿즈 찾고 있어요 도움주세요
최근 3개월 기준 호주 개발자 밈 굿즈 원단 퀄리티 평균 가격은?,개발자 밈 굿즈,,,거래,보통,개발자 밈 굿즈,원단 퀄리티,호주,최근 3개월,개발자 커뮤니티,KO 0.8 : EN 0.2,거래,보통,최근 3개월 기준 호주 개발자 밈 굿즈 원단 퀄리티 평균 가격은?,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0032,글로벌에서 해커톤 굿즈 대량 구매 가능한가요 문의드려요
일본에서 코딩 유머 아이템 브랜드의 프린팅 품질와 깃허브 트렌드 정보를 종합해서 설명해주세요,코딩 유머 아이템,일본,,정보,보통,코딩 유머 아이템,프린팅 품질,일본,팬데믹(2020-2022년),깃허브 트렌드,KO 0.8 : EN 0.2,정보,보통,일본에서 코딩 유머 아이템 브랜드의 프린팅 품질와 깃허브 트렌드 정보를 종합해서 설명해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0033,일본에서 트렌디하게 스타트업 문화 아이템 커스터마이징
개발자 밈 굿즈 분야에서 개발자 커뮤니티 반응가 우수한 브랜드를 추천해주세요,개발자 밈 굿즈,일본,,탐색,보통,개발자 밈 굿즈,개발자 커뮤니티 반응,일본,2019-2023년,깃허브 트렌드,KO 0.8 : EN 0.2,탐색,보통,개발자 밈 굿즈 분야에서 개발자 커뮤니티 반응가 우수한 브랜드를 추천해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0034,일본에서 전문적으로 개발자 정체성 표현 굿즈 추천 알려주세요
2019-2023년 기간 한국 개발자 밈 굿즈 상위 브랜드를 프린팅 품질 기준으로 정리해주세요,개발자 밈 굿즈,,,탐색,보통,개발자 밈 굿즈,프린팅 품질,한국,2019-2023년,IT 뉴스,KO 0.8 : EN 0.2,탐색,보통,2019-2023년 기간 한국 개발자 밈 굿즈 상위 브랜드를 프린팅 품질 기준으로 정리해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0035,트렌디하게 개발자 정체성 표현 굿즈 추천
미국에서 코딩 유머 아이템 브랜드의 할인율와 개발자 커뮤니티 정보를 종합해서 설명해주세요,코딩 유머 아이템,미국,,정보,보통,코딩 유머 아이템,할인율,미국,최근 3개월,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,보통,미국에서 코딩 유머 아이템 브랜드의 할인율와 개발자 커뮤니티 정보를 종합해서 설명해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0036,미국에서 트렌디하게 스타트업 문화 아이템 커스터마이징
