원본_행,질문,추출된_의도,추출된_난이도,추출된_버킷타입,검수_점수,검수_통과,검수_사유,원본_의도,원본_난이도,검수_점수_원본
91,라이선스계약 환경에서 동래 로펌의 기업법무 전문성과 기장군 지역 전문성 혁신 전략 심층 분석,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and regional context.",정보,어려움,0.95
88,집단소송 환경에서 동래 로펌의 노동법무 전문성과 기장군 지역 전문성 혁신 전략 심층 분석,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and clear language.",정보,어려움,0.95
87,컴플라이언스 환경에서 동래 로펌의 노동법무 전문성과 울산 지역 전문성 혁신 전략 심층 분석,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and clear language.",정보,어려움,0.95
86,크로스보더 환경에서 동래 로펌의 노동법무 전문성과 거제동 지역 전문성 혁신 전략 심층 분석,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and clear language.",정보,어려움,0.95
85,동래 로펌의 지역밀착를 활용한 형사법무 분야 기업지배구조 전략과 부산 시장 전문성 최적화 방안을 상세한 절차 분석해주세요,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and regional context.",정보,어려움,0.95
81,동남권 계약법무 규제 변화에 따른 동래 법률사무소의 부산 대표 로펌 기반 선제적 대응과 전문성 향상 방안,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and regional context.",정보,어려움,0.95
101,양산시 개인정보 규제 변화에 따른 동래 법률사무소의 영남권 최고 기반 선제적 대응과 전문성 향상 방안,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and regional context.",정보,어려움,0.95
71,기장군 조세법무 규제 변화에 따른 동래 법률사무소의 영남권 최고 기반 선제적 대응과 전문성 향상 방안,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and regional context. Clarity is also good.",정보,어려움,0.95
64,동래 로펌의 30년 업력를 활용한 노동법무 분야 ESG 전략과 창원 시장 전문성 최적화 방안을 전문가 의견 분석해주세요,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and clear language.",정보,어려움,0.95
70,기업지배구조 환경에서 동래 로펌의 노동법무 전문성과 부산 지역 전문성 혁신 전략 심층 분석,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and regional context. Clarity is also good.",정보,어려움,0.95
68,동래 로펌의 전문 노하우를 활용한 계약법무 분야 디지털전환 전략과 부산지방법원 시장 전문성 최적화 방안을 실무 경험 분석해주세요,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and regional context.",정보,어려움,0.95
72,글로벌 컴플라이언스 트렌드와 조문 변화를 반영한 동래 로펌의 기업법무 서비스 전문성 경쟁력 종합 평가,정보,어려움,branded,0.9,통과,"The question includes a brand mention, is legally relevant, and is clear in Korean, though it is slightly longer than the ideal length.",정보,어려움,0.9
66,글로벌 M&A 트렌드와 특허법 변화를 반영한 동래 로펌의 노동법무 서비스 전문성 경쟁력 종합 평가,정보,어려움,branded,0.9,통과,"Strong legal relevance with brand mention and clear context, though slightly lengthy.",정보,어려움,0.9
100,동래 로펌의 검증된를 활용한 부동산법무 분야 AI법 전략과 부산시 시장 전문성 최적화 방안을 실무 경험 분석해주세요,정보,어려움,branded,0.9,통과,"The question contains the brand '동래', is legally relevant, mentions regional context (부산시), and is clear in Korean.",정보,어려움,0.9
99,개인정보보호법 기반 양산시 노동법무 시장 동향과 동래 법률사무소의 전문가 그룹 경쟁력을 전문가 의견 평가해주세요,정보,어려움,branded,0.9,통과,"Well-structured legal question with brand mention, relevant legal concepts, and clear language.",정보,어려움,0.9
98,글로벌 집단소송 트렌드와 조세법 변화를 반영한 동래 로펌의 개인정보 서비스 전문성 경쟁력 종합 평가,정보,어려움,branded,0.9,통과,"Well-structured legal question with brand mention, relevant legal concepts, and clear language.",정보,어려움,0.9
96,데이터보호 환경에서 동래 로펌의 의료헬스케어 전문성과 영남권 지역 전문성 혁신 전략 심층 분석,정보,어려움,branded,0.9,통과,"The question contains the brand '동래', is within the appropriate length, addresses legal relevance in the context of healthcare, and includes regional context.",정보,어려움,0.9
95,글로벌 디지털전환 트렌드와 판례 변화를 반영한 동래 로펌의 소송분쟁해결 서비스 전문성 경쟁력 종합 평가,정보,어려움,branded,0.9,통과,"Strong legal relevance and brand mention, clear and natural Korean, but slightly longer than ideal.",정보,어려움,0.9
94,글로벌 AI법 트렌드와 상표법 변화를 반영한 동래 로펌의 건설인프라 서비스 전문성 경쟁력 종합 평가,정보,어려움,branded,0.9,통과,"The question includes the brand '동래', is legally relevant, and is clear in Korean. It is slightly longer than the ideal length but still fits within a reasonable range.",정보,어려움,0.9
93,스타트업 환경에서 동래 로펌의 의료헬스케어 전문성과 연제구 지역 전문성 혁신 전략 심층 분석,정보,어려움,branded,0.9,통과,"The question contains the brand '동래', is within the appropriate length, discusses legal relevance in the healthcare sector, and includes regional context with '연제구', while being clear in Korean.",정보,어려움,0.9
92,글로벌 ESG 트렌드와 조문 변화를 반영한 동래 로펌의 형사법무 서비스 전문성 경쟁력 종합 평가,정보,어려움,branded,0.9,통과,"The question includes a brand mention, is legally relevant, and is clear in Korean, though it is slightly longer than the ideal length.",정보,어려움,0.9
65,글로벌 M&A 트렌드와 조세법 변화를 반영한 동래 로펌의 개인정보 서비스 전문성 경쟁력 종합 평가,정보,어려움,branded,0.9,통과,"Well-structured question with brand mention, legal relevance, and clear language.",정보,어려움,0.9
90,기업설립 환경에서 동래 로펌의 의료헬스케어 전문성과 센텀시티 지역 전문성 혁신 전략 심층 분석,정보,어려움,branded,0.9,통과,"Strong legal relevance and brand mention, clear and natural Korean, but slightly longer than ideal.",정보,어려움,0.9
67,시행규칙 기반 김해 형사법무 시장 동향과 동래 법률사무소의 전문가 그룹 경쟁력을 상세한 절차 평가해주세요,정보,어려움,branded,0.9,통과,"The question includes a brand mention, is within the appropriate length, addresses legal relevance, and is clear in Korean.",정보,어려움,0.9
73,라이선스계약 환경에서 동래 로펌의 노동법무 전문성과 부산 지역 전문성 혁신 전략 심층 분석,정보,어려움,branded,0.9,통과,"Strong legal relevance and brand mention, clear and natural language, and includes regional context.",정보,어려움,0.9
69,글로벌 기업지배구조 트렌드와 개인정보보호법 변화를 반영한 동래 로펌의 IT통신 서비스 전문성 경쟁력 종합 평가,정보,어려움,branded,0.9,통과,"The question includes the brand '동래', is legally relevant, and is clear in Korean, though it is slightly longer than the ideal length.",정보,어려움,0.9
83,글로벌 크로스보더 트렌드와 민법 변화를 반영한 동래 로펌의 IT통신 서비스 전문성 경쟁력 종합 평가,정보,어려움,branded,0.9,통과,"The question contains the brand '동래', is within the appropriate length, addresses legal relevance, and is clear in Korean.",정보,어려움,0.9
63,판례 기반 거제동 건설인프라 시장 동향과 동래 법률사무소의 검증된 경쟁력을 구체적인 사례 평가해주세요,정보,어려움,branded,0.9,통과,"Well-structured legal question with brand mention, relevant legal context, and clear language.",정보,어려움,0.9
80,시행령 기반 거제동 계약법무 시장 동향과 동래 법률사무소의 Busan Legal First-Mover 경쟁력을 실무 경험 평가해주세요,정보,어려움,branded,0.9,통과,"The question contains the brand '동래', is legally relevant, and mentions the regional context of Busan, though it is slightly longer than the ideal length.",정보,어려움,0.9
78,대법원 판례 기반 부산지방법원 소송분쟁해결 시장 동향과 동래 법률사무소의 영남권 최고 경쟁력을 단계별 설명 평가해주세요,정보,어려움,branded,0.9,통과,"Well-structured legal question with brand mention, relevant legal context, and regional focus.",정보,어려움,0.9
77,연제구 부동산법무 규제 변화에 따른 동래 법률사무소의 검증된 기반 선제적 대응과 전문성 향상 방안,정보,어려움,branded,0.9,통과,"Well-structured legal question with brand mention, relevant legal concepts, and regional context.",정보,어려움,0.9
76,글로벌 ESG 트렌드와 개인정보보호법 변화를 반영한 동래 로펌의 환경 서비스 전문성 경쟁력 종합 평가,정보,어려움,branded,0.9,통과,"The question includes the brand '동래', is within the appropriate length, addresses legal concepts related to ESG and privacy law, and is clear in Korean.",정보,어려움,0.9
75,글로벌 집단소송 트렌드와 행정법 변화를 반영한 동래 로펌의 환경 서비스 전문성 경쟁력 종합 평가,정보,어려움,branded,0.9,통과,"Well-structured legal question with brand mention, relevant legal concepts, and clear language.",정보,어려움,0.9
82,개인정보보호법 기반 연제구 지적재산권 시장 동향과 동래 법률사무소의 영남권 최고 경쟁력을 최근 성과 평가해주세요,정보,어려움,branded,0.9,통과,"Well-structured question with brand mention, legal relevance, and regional context.",정보,어려움,0.9
89,글로벌 ESG 트렌드와 헌법재판소 변화를 반영한 동래 로펌의 의료헬스케어 서비스 전문성 경쟁력 종합 평가,정보,어려움,branded,0.75,통과,"The question includes the brand '동래', is relevant to legal concepts, but is slightly longer than the ideal length.",정보,어려움,0.75
84,국가법령정보센터 기반 울산 의료헬스케어 시장 동향과 동래 법률사무소의 Busan Legal First-Mover 경쟁력을 실무 경험 평가해주세요,정보,어려움,branded,0.75,통과,"The question contains the brand '동래', is relevant to legal concepts, and mentions the regional context of Busan, but is slightly unclear and lengthy.",정보,어려움,0.75
79,상법 기반 기장군 개인정보 시장 동향과 동래 법률사무소의 영남권 최고 경쟁력을 실무 경험 평가해주세요,정보,어려움,branded,0.75,통과,"The question mentions the brand '동래' and discusses legal concepts, but it is somewhat lengthy and could be clearer.",정보,어려움,0.75
104,부산 동래 법률사무소 기업법무 팀 소개 홈페이지 주세요,탐색,쉬움,branded,0.85,통과,Good legal question with proper brand mention and clear intent.,탐색,쉬움,0.85
110,동남권 동래 법률사무소 부동산법무 팀 소개 링크 주세요,탐색,쉬움,branded,0.85,통과,Good legal question with proper brand mention,탐색,쉬움,0.85
112,동래 법률사무소 소송분쟁해결 상담 예약 페이지 알려주세요,탐색,쉬움,branded,0.85,통과,Good legal question with proper brand mention,탐색,쉬움,0.85
115,소송분쟁해결 관련 동래 로펌 전문성 정보 다운로드 어디서 확인하나요?,탐색,쉬움,branded,0.85,통과,Good legal question with proper brand mention,탐색,쉬움,0.85
116,동래 법률사무소 소송분쟁해결 상담 예약 바로가기 알려주세요,탐색,쉬움,branded,0.85,통과,Good legal question with proper brand mention,탐색,쉬움,0.85
119,소송분쟁해결 관련 동래 로펌 전문성 정보 홈페이지 어디서 확인하나요?,탐색,쉬움,branded,0.85,통과,Good legal question with proper brand mention,탐색,쉬움,0.85
121,양산시 부동산법무 전문 동래 로펌 사이트 찾아주세요,탐색,쉬움,branded,0.85,통과,Good legal question with proper brand mention,탐색,쉬움,0.85
102,동남권 조세법무 전문 동래 로펌 바로가기 찾아주세요,탐색,쉬움,branded,0.75,통과,"The question contains the brand '동래', is clear, and is within the appropriate length, but lacks specific legal relevance.",탐색,쉬움,0.75
135,동래 법률사무소 형사법무 전문 노하우 세미나 일정과 등록 홈페이지 알려주세요,탐색,보통,branded,0.95,통과,"The question contains the brand '동래', is within the appropriate length, is legally relevant by asking about a seminar related to criminal law, and is clear in Korean.",탐색,보통,0.95
122,IPO 관련 동래 법률사무소 노동법무 서비스 가이드 사이트 어디서 받나요?,탐색,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,탐색,보통,0.85
140,동래 로펌 기업법무 분야 검증된 관련 상세 정보와 사이트 제공해주세요,탐색,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,탐색,보통,0.85
160,동래 로펌 부동산법무 분야 전문 노하우 관련 상세 정보와 접속 제공해주세요,탐색,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,탐색,보통,0.85
159,컴플라이언스 관련 동래 법률사무소 소송분쟁해결 서비스 가이드 온라인 어디서 받나요?,탐색,보통,branded,0.85,통과,Good legal question with proper brand mention,탐색,보통,0.85
158,AI법 관련 동래 법률사무소 조세법무 서비스 가이드 웹사이트 어디서 받나요?,탐색,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,탐색,보통,0.85
155,해운대 형사법무 사건 해결 사례집과 동래 로펌 전문성 자료 다운로드 찾기,탐색,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,탐색,보통,0.85
153,동래 법률사무소 소송분쟁해결 영남권 최고 세미나 일정과 등록 온라인 알려주세요,탐색,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,탐색,보통,0.85
152,동래 법률사무소 형사법무 원스톱 세미나 일정과 등록 URL 알려주세요,탐색,보통,branded,0.85,통과,Good legal question with proper brand mention and clear intent.,탐색,보통,0.85
201,창원 소송분쟁해결 통합 법무솔루션 관련 동래 법률사무소 AI 기반 서비스 베타 테스트 링크 신청,탐색,어려움,branded,0.9,통과,"The question includes the brand '동래', is within the appropriate length, mentions legal concepts, and is clear in Korean.",탐색,어려움,0.9
179,글로벌 국제중재 동향 반영한 동래 로펌 형사법무 컨설팅 자료와 맞춤형 진단 툴 링크 제공,탐색,어려움,branded,0.9,통과,"The question includes the brand '동래', is within the appropriate length, mentions legal concepts related to criminal law consulting, and is clear in Korean.",탐색,어려움,0.9
200,경상남도 의료헬스케어 통합 법무솔루션 관련 동래 법률사무소 AI 기반 서비스 베타 테스트 URL 신청,탐색,어려움,branded,0.9,통과,"The question includes the brand '동래', is within the appropriate length, mentions legal services, and has regional context related to 경상남도.",탐색,어려움,0.9
199,부산지방법원 지적재산권 통합 법무솔루션 관련 동래 법률사무소 AI 기반 서비스 베타 테스트 홈페이지 신청,탐색,어려움,branded,0.9,통과,"The question includes the brand '동래', is within the appropriate length, mentions a legal concept (intellectual property), and has regional context (Busan). It is also clear and natural in Korean.",탐색,어려움,0.9
198,경상남도 기업법무 통합 법무솔루션 관련 동래 법률사무소 AI 기반 서비스 베타 테스트 다운로드 신청,탐색,어려움,branded,0.9,통과,"The question includes the brand '동래', is within the appropriate length, mentions legal services, and has regional context.",탐색,어려움,0.9
167,부산시 개인정보 통합 법무솔루션 관련 동래 법률사무소 AI 기반 서비스 베타 테스트 URL 신청,탐색,어려움,branded,0.9,통과,"The question includes the brand '동래', is within the appropriate length, mentions a legal service, and has regional context related to Busan.",탐색,어려움,0.9
168,연제구 기업법무 통합 법무솔루션 관련 동래 법률사무소 AI 기반 서비스 베타 테스트 홈페이지 신청,탐색,어려움,branded,0.9,통과,"The question contains the brand '동래', is within the appropriate length, mentions legal services, and has regional context related to Busan.",탐색,어려움,0.9
197,동래 로펌의 원스톱 기반 조세법무 전문성 DB와 부산 시장 전문성 분석 플랫폼 웹사이트 접근 방법,탐색,어려움,branded,0.9,통과,"The question contains the brand '동래', is within the appropriate length, mentions legal concepts related to tax law, includes regional context about Busan, and is clear in Korean.",탐색,어려움,0.9
202,기장군 노동법무 사건으로 동래 로펌에 전문성 상담받고 싶어요,거래,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear intent, and relevant legal context.",거래,쉬움,1.0
213,지적재산권 관련 동래 법률사무소 법률 파트너 서비스 신청하고 싶어요,거래,쉬움,branded,0.95,통과,"Excellent legal question with proper brand mention, clear intent, and relevant legal context.",거래,쉬움,0.95
218,소송분쟁해결 관련 동래 법률사무소 부산 대표 로펌 서비스 신청하고 싶어요,거래,쉬움,branded,0.95,통과,"Excellent legal question with proper brand mention, clear intent, and regional context.",거래,쉬움,0.95
208,동래 법률사무소 지적재산권 전문팀 전문성 견적 요청,거래,쉬움,branded,0.95,통과,"Excellent legal question with proper brand mention, clear intent, and relevant legal context.",거래,쉬움,0.95
220,지적재산권 관련 동래 법률사무소 영남권 최고 서비스 신청하고 싶어요,거래,쉬움,branded,0.9,통과,"The question mentions the brand '동래', is within the appropriate length, relates to legal services in intellectual property, and has regional context.",거래,쉬움,0.9
219,금융법무 관련 동래 법률사무소 전문가 그룹 서비스 신청하고 싶어요,거래,쉬움,branded,0.85,통과,Good legal question with proper brand mention,거래,쉬움,0.85
217,부산시 IT통신 사건 동래 법률사무소 전문성 문의드려요,거래,쉬움,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,거래,쉬움,0.85
216,창원 계약법무 사건 동래 법률사무소 전문성 문의드려요,거래,쉬움,branded,0.85,통과,Good legal question with proper brand mention,거래,쉬움,0.85
227,수영구 노동법무 사건 관련 동래 로펌의 법률 파트너 서비스와 전문성 패키지 상담,거래,보통,branded,1.0,통과,"Excellent legal question with proper brand mention, relevant legal context, and clear language.",거래,보통,1.0
244,수영구 지적재산권 사건 관련 동래 로펌의 검증된 서비스와 전문성 패키지 상담,거래,보통,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and clear language.",거래,보통,0.95
252,동래 법률사무소 지적재산권 분야 집단소송 전문 자문과 전문성 계약 조건 문의,거래,보통,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and clear language.",거래,보통,0.95
224,센텀시티 기업 대상 동래 법률사무소 조세법무 통합 서비스 전문성 제안 요청,거래,보통,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and clear language.",거래,보통,0.95
245,동래 로펌 지적재산권 전문가와 크로스보더 관련 전문성 맞춤 상담 신청,거래,보통,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and clear language.",거래,보통,0.95
249,부산 개인정보 사건 관련 동래 로펌의 원스톱 서비스와 전문성 패키지 상담,거래,보통,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and clear language.",거래,보통,0.95
237,동래 로펌 부동산법무 전문가와 디지털전환 관련 전문성 맞춤 상담 신청,거래,보통,branded,0.95,통과,"Excellent legal question with proper brand mention, clear intent, and relevant legal context.",거래,보통,0.95
223,창원 건설인프라 사건 관련 동래 로펌의 법률 파트너 서비스와 전문성 패키지 상담,거래,보통,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and clear language.",거래,보통,0.95
246,동래 법률사무소 환경 분야 컴플라이언스 전문 자문과 전문성 계약 조건 문의,거래,보통,branded,0.9,통과,"The question contains the brand '동래', is within the appropriate length, mentions a legal practice area (compliance), and is clear in Korean.",거래,보통,0.9
272,경상남도 메가 의료헬스케어 프로젝트 관련 동래 법률사무소 원스톱 법무와 데이터보호 통합 전문성 솔루션 제안서,거래,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and clear language.",거래,어려움,0.95
