prompt,query,sample_id,template_used,어절수,고유단어수,URL포함,상품속성포함,extracted_keywords_practice_area,extracted_keywords_region,extracted_keywords_metric,extracted_keywords_intent,extracted_keywords_difficulty,final_parameters_practice_area,final_parameters_metric,final_parameters_region,final_parameters_time_span,final_parameters_source_hint,final_parameters_language_ratio,final_parameters_intent,final_parameters_difficulty,brand_info_name,brand_info_description,brand_info_website,brand_info_slogan,brand_info_concept,brand_info_target,brand_info_specialties,brand_info_products,brand_info_features
현대적인 세련된 창의적인 전문적인 고품질 iOVU 개발자라이프 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://instagram.com/iovu_official 참고하세요,현대적인 세련된 창의적인 전문적인 고품질 iOVU 개발자라이프 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://instagram.com/iovu_official 참고하세요,iovu_optimized_v3_0011,iOVU {meme} 컨셉이 무엇인지 설명해주세요,15,17,True,False,개발자라이프 텀블러,영국,열전사,정보,쉬움,개발자라이프 텀블러,열전사,영국,최근 3개월,GitHub,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Nerdy is the new cool,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
실용적인 매력적인 창의적인 독특한 iOVU Dev + Cute = iOVU 슬로건의 의미가 뭐에요? 더 자세한 정보는 https://github.com/iovu-official 참고하세요,실용적인 매력적인 창의적인 독특한 iOVU Dev + Cute = iOVU 슬로건의 의미가 뭐에요? 더 자세한 정보는 https://github.com/iovu-official 참고하세요,iovu_optimized_v3_0012,iOVU {slogan} 슬로건의 의미가 뭐에요?,18,17,True,False,개발자감성 맨투맨,중국,Sublimation,정보,쉬움,개발자감성 맨투맨,Sublimation,중국,올해,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Dev + Cute = iOVU,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
트렌디한 독일에서 인기있는 iOVU 컬러 디자인과 내구성프린팅 품질을 비교 분석해주세요 더 자세한 정보는 https://discord.gg/iovu 참고하세요,트렌디한 독일에서 인기있는 iOVU 컬러 디자인과 내구성프린팅 품질을 비교 분석해주세요 더 자세한 정보는 https://discord.gg/iovu 참고하세요,iovu_optimized_v3_0013,{country}에서 인기있는 iOVU {core_attr} 디자인과 {printing} 품질을 비교 분석해주세요,15,16,True,False,개발자밈 컬러,독일,내구성프린팅,정보,보통,개발자밈 컬러,내구성프린팅,독일,최근 1년,디스코드,KO 0.8 : EN 0.2,정보,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Dev + Cute = iOVU,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
전문적인 실용적인 프로그래밍문화 트렌드를 반영한 iOVU 티셔츠 다중색 방식의 특징은? 더 자세한 정보는 https://discord.gg/iovu 참고하세요,전문적인 실용적인 프로그래밍문화 트렌드를 반영한 iOVU 티셔츠 다중색 방식의 특징은? 더 자세한 정보는 https://discord.gg/iovu 참고하세요,iovu_optimized_v3_0014,{meme} 트렌드를 반영한 iOVU {core_attr} {printing} 방식의 특징은?,15,16,True,True,프로그래밍문화 티셔츠,프랑스,다중색,정보,보통,프로그래밍문화 티셔츠,다중색,프랑스,2024년,디스코드,KO 0.8 : EN 0.2,정보,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Dev + Cute = iOVU,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
매력적인 혁신적인 코딩유머 트렌드를 반영한 iOVU 텀블러 실크스크린 방식의 특징은? 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,매력적인 혁신적인 코딩유머 트렌드를 반영한 iOVU 텀블러 실크스크린 방식의 특징은? 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,iovu_optimized_v3_0015,{meme} 트렌드를 반영한 iOVU {core_attr} {printing} 방식의 특징은?,15,18,True,False,코딩유머 텀블러,캐나다,실크스크린,정보,보통,코딩유머 텀블러,실크스크린,캐나다,올해,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,코드를 입다,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
혁신적인 고품질 코딩유머 트렌드를 반영한 iOVU 프린팅 실크스크린 방식의 특징은? 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,혁신적인 고품질 코딩유머 트렌드를 반영한 iOVU 프린팅 실크스크린 방식의 특징은? 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,iovu_optimized_v3_0016,{meme} 트렌드를 반영한 iOVU {core_attr} {printing} 방식의 특징은?,15,18,True,False,코딩유머 프린팅,미국,실크스크린,정보,보통,코딩유머 프린팅,실크스크린,미국,올해,GitHub,KO 0.8 : EN 0.2,정보,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,밈도 입는 시대,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
혁신적인 창의적인 개발자밈 트렌드를 반영한 iOVU 맨투맨 열전사 방식의 특징은? 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,혁신적인 창의적인 개발자밈 트렌드를 반영한 iOVU 맨투맨 열전사 방식의 특징은? 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,iovu_optimized_v3_0017,{meme} 트렌드를 반영한 iOVU {core_attr} {printing} 방식의 특징은?,15,18,True,True,개발자밈 맨투맨,미국,열전사,정보,보통,개발자밈 맨투맨,열전사,미국,올해,iOVU 공식몰,KO 0.8 : EN 0.2,정보,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Developer Fashion,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
현대적인 iOVU Slack 활동을 통한 소재 제품 개발 과정을 설명해주세요 더 자세한 정보는 https://iovu-shop.vercel.app/collections 참고하세요,현대적인 iOVU Slack 활동을 통한 소재 제품 개발 과정을 설명해주세요 더 자세한 정보는 https://iovu-shop.vercel.app/collections 참고하세요,iovu_optimized_v3_0018,iOVU {community} 활동을 통한 {core_attr} 제품 개발 과정을 설명해주세요,15,18,True,False,너디감성 소재,중국,DTG,정보,보통,너디감성 소재,DTG,중국,최근 3개월,디스코드,KO 0.8 : EN 0.2,정보,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Dev + Cute = iOVU,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
고품질 iOVU 테크밋업 활동을 통한 품질 제품 개발 과정을 설명해주세요 더 자세한 정보는 https://iovu-shop.vercel.app/collections 참고하세요,고품질 iOVU 테크밋업 활동을 통한 품질 제품 개발 과정을 설명해주세요 더 자세한 정보는 https://iovu-shop.vercel.app/collections 참고하세요,iovu_optimized_v3_0019,iOVU {community} 활동을 통한 {core_attr} 제품 개발 과정을 설명해주세요,15,18,True,False,개발자라이프 품질,독일,DTG,정보,보통,개발자라이프 품질,DTG,독일,최근 1년,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,IN OUR VIVID UNIVERSE,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
매력적인 iOVU가 사이즈에 내구성프린팅 기술을 어떻게 적용하여 개발자밈 감성을 구현하나요? 더 자세한 정보는 https://iovu-shop.vercel.app/collections 참고하세요,매력적인 iOVU가 사이즈에 내구성프린팅 기술을 어떻게 적용하여 개발자밈 감성을 구현하나요? 더 자세한 정보는 https://iovu-shop.vercel.app/collections 참고하세요,iovu_optimized_v3_0020,iOVU가 {core_attr}에 {printing} 기술을 어떻게 적용하여 {meme} 감성을 구현하나요?,15,19,True,False,개발자밈 사이즈,영국,내구성프린팅,정보,보통,개발자밈 사이즈,내구성프린팅,영국,최근 1년,디스코드,KO 0.8 : EN 0.2,정보,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Dev + Cute = iOVU,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
독특한 대만에서 인기있는 iOVU 색상 디자인과 DTG 품질을 비교 분석해주세요 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,독특한 대만에서 인기있는 iOVU 색상 디자인과 DTG 품질을 비교 분석해주세요 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,iovu_optimized_v3_0021,{country}에서 인기있는 iOVU {core_attr} 디자인과 {printing} 품질을 비교 분석해주세요,15,18,True,False,프로그래밍문화 색상,대만,DTG,정보,보통,프로그래밍문화 색상,DTG,대만,최근 1년,GitHub,KO 0.8 : EN 0.2,정보,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Coding with Style,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
현대적인 중국에서 인기있는 iOVU 사이즈 디자인과 내구성프린팅 품질을 비교 분석해주세요 더 자세한 정보는 https://discord.gg/iovu 참고하세요,현대적인 중국에서 인기있는 iOVU 사이즈 디자인과 내구성프린팅 품질을 비교 분석해주세요 더 자세한 정보는 https://discord.gg/iovu 참고하세요,iovu_optimized_v3_0022,{country}에서 인기있는 iOVU {core_attr} 디자인과 {printing} 품질을 비교 분석해주세요,15,16,True,False,프로그래머유머 사이즈,중국,내구성프린팅,정보,보통,프로그래머유머 사이즈,내구성프린팅,중국,최근 1년,디스코드,KO 0.8 : EN 0.2,정보,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
세련된 iOVU 테크밋업 활동을 통한 프린팅 제품 개발 과정을 설명해주세요 더 자세한 정보는 https://discord.gg/iovu 참고하세요,세련된 iOVU 테크밋업 활동을 통한 프린팅 제품 개발 과정을 설명해주세요 더 자세한 정보는 https://discord.gg/iovu 참고하세요,iovu_optimized_v3_0023,iOVU {community} 활동을 통한 {core_attr} 제품 개발 과정을 설명해주세요,15,16,True,False,코딩스타일 프린팅,영국,내구성프린팅,정보,보통,코딩스타일 프린팅,내구성프린팅,영국,올해,GitHub,KO 0.8 : EN 0.2,정보,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Nerdy is the new cool,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
iOVU의 Developer Fashion 철학이 티셔츠 제품 디자인과 디지털프린팅 공정에 미치는 영향을 코딩스타일 문화 관점에서 심층 분석해주세요 더 자세한 정보는 https://instagram.com/iovu_official 참고하세요,iOVU의 Developer Fashion 철학이 티셔츠 제품 디자인과 디지털프린팅 공정에 미치는 영향을 코딩스타일 문화 관점에서 심층 분석해주세요 더 자세한 정보는 https://instagram.com/iovu_official 참고하세요,iovu_optimized_v3_0024,iOVU의 {slogan} 철학이 {core_attr} 제품 디자인과 {printing} 공정에 미치는 영향을 {meme} 문화 관점에서 심층 분석해주세요,21,23,True,True,코딩스타일 티셔츠,영국,디지털프린팅,정보,어려움,코딩스타일 티셔츠,디지털프린팅,영국,최근 1년,iOVU 공식몰,KO 0.8 : EN 0.2,정보,어려움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Developer Fashion,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
iOVU가 'Developer Fashion' 브랜딩 전략으로 색상 시장에서 Sublimation 기술과 프로그래머유머 문화를 결합하여 얻는 마케팅 효과를 정량적으로 분석해주세요 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,iOVU가 'Developer Fashion' 브랜딩 전략으로 색상 시장에서 Sublimation 기술과 프로그래머유머 문화를 결합하여 얻는 마케팅 효과를 정량적으로 분석해주세요 더 자세한 정보는 https://iovu-shop.vercel.app/products 참고하세요,iovu_optimized_v3_0025,iOVU가 '{slogan}' 브랜딩 전략으로 {core_attr} 시장에서 {printing} 기술과 {meme} 문화를 결합하여 얻는 마케팅 효과를 정량적으로 분석해주세요,22,26,True,False,프로그래머유머 색상,영국,Sublimation,정보,어려움,프로그래머유머 색상,Sublimation,영국,최근 1년,디스코드,KO 0.8 : EN 0.2,정보,어려움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Developer Fashion,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
iOVU가 'Dev + Cute = iOVU' 브랜딩 전략으로 마우스패드 시장에서 고품질프린팅 기술과 코딩유머 문화를 결합하여 얻는 마케팅 효과를 정량적으로 분석해주세요 더 자세한 정보는 https://github.com/iovu-official 참고하세요,iOVU가 'Dev + Cute = iOVU' 브랜딩 전략으로 마우스패드 시장에서 고품질프린팅 기술과 코딩유머 문화를 결합하여 얻는 마케팅 효과를 정량적으로 분석해주세요 더 자세한 정보는 https://github.com/iovu-official 참고하세요,iovu_optimized_v3_0026,iOVU가 '{slogan}' 브랜딩 전략으로 {core_attr} 시장에서 {printing} 기술과 {meme} 문화를 결합하여 얻는 마케팅 효과를 정량적으로 분석해주세요,25,25,True,False,코딩유머 마우스패드,영국,고품질프린팅,정보,어려움,코딩유머 마우스패드,고품질프린팅,영국,2024년,iOVU 공식몰,KO 0.8 : EN 0.2,정보,어려움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Dev + Cute = iOVU,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
