번호,질문,의도,난이도,도메인,언어,어절수,키워드_포함
77,행정법 수임료는 어느 정도인가요?,정보,쉬움,법무,KO,4,법무분야
78,부산 남포동에서 개인정보 전문 변호사 찾고 있어요,거래,쉬움,법무,KO,7,"법무분야, 지역"
79,국제법 관련 무료상담 있나요?,탐색,쉬움,법무,KO,4,법무분야
80,환경 관련 무료상담 있나요?,정보,쉬움,법무,KO,4,법무분야
81,IT통신 사건으로 법률사무소 방문 예약하고 싶어요,탐색,쉬움,법무,KO,6,법무분야
82,의료헬스케어 사건으로 법률사무소 방문 예약하고 싶어요,정보,쉬움,법무,KO,6,법무분야
83,조세법무 관련 법률사무소 상담 가능한가요?,거래,쉬움,법무,KO,5,법무분야
84,환경 초기 대응 도움받고 싶어요,거래,쉬움,법무,KO,5,법무분야
85,행정법 관련 무료상담 있나요?,탐색,쉬움,법무,KO,4,법무분야
86,부산시 거주자인데 IT통신 상담 받고 싶어요,거래,쉬움,법무,KO,6,"법무분야, 지역"
87,헌법 수임료는 어느 정도인가요?,정보,쉬움,법무,KO,4,법무분야
88,부산 거제동에서 기업법무 전문 변호사 찾고 있어요,탐색,쉬움,법무,KO,7,"법무분야, 지역"
89,부산 가족법 전문 로펌 평판은 어떤가요?,정보,쉬움,법무,KO,6,"법무분야, 지역"
90,상속법 사건으로 법률사무소 방문 예약하고 싶어요,거래,쉬움,법무,KO,6,법무분야
91,부산 경상남도에서 부동산법무 전문 변호사 찾고 있어요,탐색,쉬움,법무,KO,7,"법무분야, 지역"
92,해운대 거주자인데 조세법무 상담 받고 싶어요,거래,쉬움,법무,KO,6,"법무분야, 지역"
93,국제법 관련 법률사무소 상담 가능한가요?,거래,쉬움,법무,KO,5,법무분야
94,기업법무 초기 대응 도움받고 싶어요,탐색,쉬움,법무,KO,5,법무분야
95,부산 서면에서 금융법무 전문 변호사 찾고 있어요,탐색,쉬움,법무,KO,7,"법무분야, 지역"
96,해운대 거주자인데 보험법 상담 받고 싶어요,탐색,쉬움,법무,KO,6,"법무분야, 지역"
97,형사법무 관련 법률사무소 상담 가능한가요?,탐색,쉬움,법무,KO,5,법무분야
98,거제동 거주자인데 금융법무 상담 받고 싶어요,탐색,쉬움,법무,KO,6,"법무분야, 지역"
99,부산 건설인프라 전문 로펌 평판은 어떤가요?,탐색,쉬움,법무,KO,6,"법무분야, 지역"
100,부산 서면에서 증권법 전문 변호사 찾고 있어요,탐색,쉬움,법무,KO,7,"법무분야, 지역"
101,가족법 분야 영남권 지역 전문 법무법인을 비교해주세요,정보,보통,법무,KO,7,"법무분야, 지역, USP"
102,부산 부동산법무 분야에서 편의성 우수한 로펌들 순위는?,정보,보통,법무,KO,7,"법무분야, 지역"
103,남포동 헌법 전문 로펌들의 서비스 특징과 장단점 비교,탐색,보통,법무,KO,8,"법무분야, 지역"
104,부산 가족법 분야에서 비용 효율성 우수한 로펌들 순위는?,탐색,보통,법무,KO,8,"법무분야, 지역"
105,해운대 기반 국제법 전문 변호사들의 실적 비교해주세요,정보,보통,법무,KO,7,"법무분야, 지역"
106,헌법 관련 양산시 법률사무소들의 투명성 차이점은?,정보,보통,법무,KO,6,"법무분야, 지역"
107,부산 조세법무 분야에서 성공률 우수한 로펌들 순위는?,정보,보통,법무,KO,7,"법무분야, 지역"
108,건설인프라 사건 처리 시 연제구 법무법인들의 접근 방식 비교,탐색,보통,법무,KO,9,"법무분야, 지역"
109,기장군 기반 조세법무 전문 변호사들의 실적 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역"
110,IT통신 관련 동래구 법률사무소 선택 기준과 추천 리스트,정보,보통,법무,KO,8,"법무분야, 지역"
111,연제구 지역 부동산법무 전문가 중에서 성공률 좋은 곳 추천해주세요,정보,보통,법무,KO,9,"법무분야, 지역"
112,부산지방법원 기업법무 소송 경험이 풍부한 법무법인 찾아주세요,거래,보통,법무,KO,7,"법무분야, 지역"
113,금융법무 관련 법조단지 법률사무소 선택 기준과 추천 리스트,탐색,보통,법무,KO,8,"법무분야, 지역"
114,수영구 기반 가족법 전문 변호사들의 실적 비교해주세요,정보,보통,법무,KO,7,"법무분야, 지역"
115,개인정보 사건 처리 시 해운대 법무법인들의 접근 방식 비교,탐색,보통,법무,KO,9,"법무분야, 지역"
116,해운대 기반 IT통신 전문 변호사들의 실적 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역"
117,환경 관련 경남 법률사무소 선택 기준과 추천 리스트,탐색,보통,법무,KO,8,"법무분야, 지역"
118,국제법 관련 기장군 법률사무소들의 비용 효율성 차이점은?,탐색,보통,법무,KO,7,"법무분야, 지역"
119,부산 기반 증권법 전문 변호사들의 실적 비교해주세요,거래,보통,법무,KO,7,"법무분야, 지역"
120,남포동 기업법무 전문 로펌들의 서비스 특징과 장단점 비교,거래,보통,법무,KO,8,"법무분야, 지역"
121,부산지방법원 복합 기업법무 사건에서 다학제적 접근법과 만족도 효율성 평가,탐색,어려움,법무,KO,9,"법무분야, 지역"
122,부산 동래구 메가프로젝트 관련 개인정보 통합 자문에서 검증된 활용 극대화 전략,거래,어려움,법무,KO,11,"법무분야, 지역, USP"
123,법률 파트너 기반 상속법 크로스보더 거래에서 기장군 허브 역할과 글로컬 만족도 최적화,탐색,어려움,법무,KO,12,"법무분야, 지역, USP"
124,영남권 기반 글로벌 기업법무 프로젝트에서 경쟁력과 전문성 최적화 전략은?,탐색,어려움,법무,KO,9,"법무분야, 지역"
125,부산지방법원 기반 글로벌 조세법무 프로젝트에서 경쟁력과 혁신성 최적화 전략은?,거래,어려움,법무,KO,9,"법무분야, 지역"
126,소송분쟁해결 전문성을 양산시 지역 비용 효율성와 연계하여 종합적으로 분석해주세요,정보,어려움,법무,KO,9,"법무분야, 지역"
127,합리적 수임료를 활용한 국제법 분야 디지털 혁신이 수영구 법무시장에 미치는 파급효과 분석,정보,어려움,법무,KO,12,"법무분야, 지역, USP"
128,법조단지 지역 증권법 규제 변화에 따른 선제적 대응 전략과 클라이언트 만족도 향상 방안,정보,어려움,법무,KO,13,"법무분야, 지역"
129,부산지방법원 복합 증권법 사건에서 다학제적 접근법과 성공률 효율성 평가,정보,어려움,법무,KO,9,"법무분야, 지역"
130,AI 기반 의료헬스케어 솔루션이 센텀시티 기업들의 신뢰도 혁신에 미치는 영향 분석,거래,어려움,법무,KO,11,"법무분야, 지역"
131,부산지방법원 개인정보 관련 최근 5년간 판례 동향을 전문가 그룹 관점에서 평가해주세요,탐색,어려움,법무,KO,11,"법무분야, 지역, USP"
132,AI 기반 기업법무 솔루션이 거제동 기업들의 차별화 혁신에 미치는 영향 분석,정보,어려움,법무,KO,11,"법무분야, 지역"
133,AI 기반 회생법 솔루션이 남포동 기업들의 전문성 혁신에 미치는 영향 분석,탐색,어려움,법무,KO,11,"법무분야, 지역"
134,부산지방법원 복합 행정법 사건에서 다학제적 접근법과 비용 효율성 효율성 평가,탐색,어려움,법무,KO,10,"법무분야, 지역"
135,30년 업력 기반 조세법무 크로스보더 거래에서 해운대 허브 역할과 글로컬 시간 단축 최적화,정보,어려움,법무,KO,13,"법무분야, 지역, USP"
136,AI 기반 상속법 솔루션이 수영구 기업들의 투명성 혁신에 미치는 영향 분석,정보,어려움,법무,KO,11,"법무분야, 지역"
137,AI 기반 상속법 솔루션이 경상남도 기업들의 혁신성 혁신에 미치는 영향 분석,정보,어려움,법무,KO,11,"법무분야, 지역"
138,IT통신 전문성을 영남권 지역 접근성와 연계하여 종합적으로 분석해주세요,거래,어려움,법무,KO,8,"법무분야, 지역"
139,부산지방법원 계약법무 관련 최근 5년간 판례 동향을 검증된 관점에서 평가해주세요,거래,어려움,법무,KO,10,"법무분야, 지역, USP"
140,실무진 기반 회생법 크로스보더 거래에서 부산시 허브 역할과 글로컬 편의성 최적화,정보,어려움,법무,KO,11,"법무분야, 지역, USP"
141,부산지방법원 조세법무 관련 최근 5년간 판례 동향을 노하우 관점에서 평가해주세요,거래,어려움,법무,KO,10,"법무분야, 지역, USP"
142,부산지방법원 복합 상속법 사건에서 다학제적 접근법과 안정성 효율성 평가,정보,어려움,법무,KO,9,"법무분야, 지역"
143,부산지방법원 기업법무 관련 최근 5년간 판례 동향을 원스톱 관점에서 평가해주세요,정보,어려움,법무,KO,10,"법무분야, 지역, USP"
144,가족법 분야 ESG 컴플라이언스 구축 시 기장군 특화 솔루션과 성공률 ROI 분석,정보,어려움,법무,KO,12,"법무분야, 지역"
145,30년 업력를 활용한 행정법 분야 디지털 혁신이 연제구 법무시장에 미치는 파급효과 분석,탐색,어려움,법무,KO,12,"법무분야, 지역, USP"
146,부산 수영구 메가프로젝트 관련 헌법 통합 자문에서 원스톱 활용 극대화 전략,정보,어려움,법무,KO,11,"법무분야, 지역, USP"
147,지적재산권 전문성을 부산지방법원 지역 편의성와 연계하여 종합적으로 분석해주세요,정보,어려움,법무,KO,8,"법무분야, 지역"
148,남포동 기반 글로벌 개인정보 프로젝트에서 경쟁력과 신뢰도 최적화 전략은?,탐색,어려움,법무,KO,9,"법무분야, 지역"
149,AI 기반 부동산법무 솔루션이 법조단지 기업들의 전문성 혁신에 미치는 영향 분석,거래,어려움,법무,KO,11,"법무분야, 지역"
150,해운대 지역 노동법무 규제 변화에 따른 선제적 대응 전략과 클라이언트 투명성 향상 방안,정보,어려움,법무,KO,13,"법무분야, 지역"
151,대표 로펌를 활용한 행정법 분야 디지털 혁신이 서면 법무시장에 미치는 파급효과 분석,정보,어려움,법무,KO,12,"법무분야, 지역, USP"
152,부산 부산시 메가프로젝트 관련 소송분쟁해결 통합 자문에서 실무진 활용 극대화 전략,탐색,어려움,법무,KO,11,"법무분야, 지역, USP"
153,부산지방법원 기업법무 관련 최근 5년간 판례 동향을 신뢰할 수 있는 관점에서 평가해주세요,탐색,어려움,법무,KO,12,"법무분야, 지역, USP"
154,상속법 분야 ESG 컴플라이언스 구축 시 센텀시티 특화 솔루션과 안정성 ROI 분석,탐색,어려움,법무,KO,12,"법무분야, 지역"
155,AI 기반 금융법무 솔루션이 부산 기업들의 편의성 혁신에 미치는 영향 분석,거래,어려움,법무,KO,11,"법무분야, 지역"
156,부산지방법원 복합 가족법 사건에서 다학제적 접근법과 만족도 효율성 평가,거래,어려움,법무,KO,9,"법무분야, 지역"
157,AI 기반 기업법무 솔루션이 양산시 기업들의 안정성 혁신에 미치는 영향 분석,거래,어려움,법무,KO,11,"법무분야, 지역"
158,AI 기반 증권법 솔루션이 부산지방법원 기업들의 편의성 혁신에 미치는 영향 분석,탐색,어려움,법무,KO,11,"법무분야, 지역"
159,가족법 분야 ESG 컴플라이언스 구축 시 경남 특화 솔루션과 신뢰도 ROI 분석,탐색,어려움,법무,KO,12,"법무분야, 지역"
160,부산 서면 메가프로젝트 관련 금융법무 통합 자문에서 검증된 활용 극대화 전략,탐색,어려움,법무,KO,11,"법무분야, 지역, USP"
161,법률 파트너를 활용한 IT통신 분야 디지털 혁신이 법조단지 법무시장에 미치는 파급효과 분석,정보,어려움,법무,KO,12,"법무분야, 지역, USP"
162,부산 거제동 메가프로젝트 관련 개인정보 통합 자문에서 법률 파트너 활용 극대화 전략,탐색,어려움,법무,KO,12,"법무분야, 지역, USP"
163,부산지방법원 조세법무 관련 최근 5년간 판례 동향을 법률 파트너 관점에서 평가해주세요,탐색,어려움,법무,KO,11,"법무분야, 지역, USP"
164,형사법무 분야 ESG 컴플라이언스 구축 시 거제동 특화 솔루션과 편의성 ROI 분석,정보,어려움,법무,KO,12,"법무분야, 지역"
165,실무진 기반 기업법무 크로스보더 거래에서 법조단지 허브 역할과 글로컬 전문성 최적화,정보,어려움,법무,KO,11,"법무분야, 지역, USP"
166,부산지방법원 복합 가족법 사건에서 다학제적 접근법과 편의성 효율성 평가,거래,어려움,법무,KO,9,"법무분야, 지역"
167,경상남도 지역 지적재산권 규제 변화에 따른 선제적 대응 전략과 클라이언트 차별화 향상 방안,탐색,어려움,법무,KO,13,"법무분야, 지역"
168,IT통신 분야 ESG 컴플라이언스 구축 시 남포동 특화 솔루션과 신뢰도 ROI 분석,거래,어려움,법무,KO,12,"법무분야, 지역"
169,부산지방법원 건설인프라 관련 최근 5년간 판례 동향을 30년 업력 관점에서 평가해주세요,탐색,어려움,법무,KO,11,"법무분야, 지역, USP"
170,대표 로펌 기반 소송분쟁해결 크로스보더 거래에서 경남 허브 역할과 글로컬 차별화 최적화,탐색,어려움,법무,KO,12,"법무분야, 지역, USP"
171,부산 수영구 메가프로젝트 관련 환경 통합 자문에서 노하우 활용 극대화 전략,정보,어려움,법무,KO,11,"법무분야, 지역, USP"
172,AI 기반 보험법 솔루션이 동래구 기업들의 성공률 혁신에 미치는 영향 분석,거래,어려움,법무,KO,11,"법무분야, 지역"
173,회생법 분야 ESG 컴플라이언스 구축 시 부산 특화 솔루션과 차별화 ROI 분석,탐색,어려움,법무,KO,12,"법무분야, 지역"
174,행정법 전문성을 기장군 지역 편의성와 연계하여 종합적으로 분석해주세요,거래,어려움,법무,KO,8,"법무분야, 지역"
175,금융법무 전문성을 남포동 지역 접근성와 연계하여 종합적으로 분석해주세요,정보,어려움,법무,KO,8,"법무분야, 지역"
176,연제구 지역 환경 규제 변화에 따른 선제적 대응 전략과 클라이언트 만족도 향상 방안,정보,어려움,법무,KO,13,"법무분야, 지역"
177,부산지방법원 복합 노동법무 사건에서 다학제적 접근법과 시간 단축 효율성 평가,정보,어려움,법무,KO,10,"법무분야, 지역"
178,실무진를 활용한 행정법 분야 디지털 혁신이 센텀시티 법무시장에 미치는 파급효과 분석,거래,어려움,법무,KO,11,"법무분야, 지역, USP"
179,지적재산권 전문성을 경남 지역 비용 효율성와 연계하여 종합적으로 분석해주세요,정보,어려움,법무,KO,9,"법무분야, 지역"
180,검증된를 활용한 노동법무 분야 디지털 혁신이 양산시 법무시장에 미치는 파급효과 분석,정보,어려움,법무,KO,11,"법무분야, 지역, USP"
181,부산 부산지방법원 메가프로젝트 관련 지적재산권 통합 자문에서 지역 전문 활용 극대화 전략,탐색,어려움,법무,KO,12,"법무분야, 지역, USP"
182,부산 센텀시티 메가프로젝트 관련 부동산법무 통합 자문에서 30년 업력 활용 극대화 전략,거래,어려움,법무,KO,12,"법무분야, 지역, USP"
183,검증된 기반 소송분쟁해결 크로스보더 거래에서 경남 허브 역할과 글로컬 접근성 최적화,정보,어려움,법무,KO,11,"법무분야, 지역, USP"
184,부산 법조단지 메가프로젝트 관련 상속법 통합 자문에서 30년 업력 활용 극대화 전략,정보,어려움,법무,KO,12,"법무분야, 지역, USP"
185,해운대 기반 글로벌 의료헬스케어 프로젝트에서 경쟁력과 신뢰도 최적화 전략은?,탐색,어려움,법무,KO,9,"법무분야, 지역"
186,증권법 분야 ESG 컴플라이언스 구축 시 기장군 특화 솔루션과 차별화 ROI 분석,거래,어려움,법무,KO,12,"법무분야, 지역"
187,연제구 기반 글로벌 가족법 프로젝트에서 경쟁력과 투명성 최적화 전략은?,탐색,어려움,법무,KO,9,"법무분야, 지역"
188,노동법무 분야 ESG 컴플라이언스 구축 시 법조단지 특화 솔루션과 비용 효율성 ROI 분석,거래,어려움,법무,KO,13,"법무분야, 지역"
189,동래구 지역 회생법 규제 변화에 따른 선제적 대응 전략과 클라이언트 안정성 향상 방안,거래,어려움,법무,KO,13,"법무분야, 지역"
190,부산 영남권 메가프로젝트 관련 노동법무 통합 자문에서 30년 업력 활용 극대화 전략,거래,어려움,법무,KO,12,"법무분야, 지역, USP"
191,부산지방법원 개인정보 관련 최근 5년간 판례 동향을 영남권 최고 관점에서 평가해주세요,정보,어려움,법무,KO,11,"법무분야, 지역, USP"
192,부산 양산시 메가프로젝트 관련 환경 통합 자문에서 영남권 최고 활용 극대화 전략,정보,어려움,법무,KO,12,"법무분야, 지역, USP"
193,부산지방법원 헌법 관련 최근 5년간 판례 동향을 대표 로펌 관점에서 평가해주세요,정보,어려움,법무,KO,11,"법무분야, 지역, USP"
194,회생법 전문성을 부산지방법원 지역 신뢰도와 연계하여 종합적으로 분석해주세요,거래,어려움,법무,KO,8,"법무분야, 지역"
195,영남권 최고 기반 노동법무 크로스보더 거래에서 동남권 허브 역할과 글로컬 신뢰도 최적화,거래,어려움,법무,KO,12,"법무분야, 지역, USP"
196,부산 연제구 메가프로젝트 관련 회생법 통합 자문에서 영남권 최고 활용 극대화 전략,정보,어려움,법무,KO,12,"법무분야, 지역, USP"
197,AI 기반 보험법 솔루션이 양산시 기업들의 만족도 혁신에 미치는 영향 분석,거래,어려움,법무,KO,11,"법무분야, 지역"
198,지역 전문 기반 헌법 크로스보더 거래에서 센텀시티 허브 역할과 글로컬 편의성 최적화,정보,어려움,법무,KO,12,"법무분야, 지역, USP"
199,대표 로펌 기반 개인정보 크로스보더 거래에서 센텀시티 허브 역할과 글로컬 비용 효율성 최적화,정보,어려움,법무,KO,13,"법무분야, 지역, USP"
200,검증된 기반 환경 크로스보더 거래에서 동래구 허브 역할과 글로컬 신뢰도 최적화,거래,어려움,법무,KO,11,"법무분야, 지역, USP"
201,AI 기반 개인정보 솔루션이 수영구 기업들의 안정성 혁신에 미치는 영향 분석,정보,어려움,법무,KO,11,"법무분야, 지역"
202,부산지방법원 복합 개인정보 사건에서 다학제적 접근법과 전문성 효율성 평가,정보,어려움,법무,KO,9,"법무분야, 지역"
203,전문가 그룹 기반 계약법무 크로스보더 거래에서 영남권 허브 역할과 글로컬 만족도 최적화,거래,어려움,법무,KO,12,"법무분야, 지역, USP"
204,부산지방법원 복합 행정법 사건에서 다학제적 접근법과 만족도 효율성 평가,탐색,어려움,법무,KO,9,"법무분야, 지역"
205,신뢰할 수 있는 기반 가족법 크로스보더 거래에서 양산시 허브 역할과 글로컬 비용 효율성 최적화,탐색,어려움,법무,KO,14,"법무분야, 지역, USP"
206,동남권 지역 계약법무 규제 변화에 따른 선제적 대응 전략과 클라이언트 신뢰도 향상 방안,탐색,어려움,법무,KO,13,"법무분야, 지역"
207,지역 전문를 활용한 기업법무 분야 디지털 혁신이 부산시 법무시장에 미치는 파급효과 분석,정보,어려움,법무,KO,12,"법무분야, 지역, USP"
208,부산지방법원 복합 조세법무 사건에서 다학제적 접근법과 만족도 효율성 평가,정보,어려움,법무,KO,9,"법무분야, 지역"
209,계약법무 전문성을 남포동 지역 안정성와 연계하여 종합적으로 분석해주세요,탐색,어려움,법무,KO,8,"법무분야, 지역"
210,부산지방법원 복합 IT통신 사건에서 다학제적 접근법과 접근성 효율성 평가,탐색,어려움,법무,KO,9,"법무분야, 지역"
211,지역 전문를 활용한 개인정보 분야 디지털 혁신이 거제동 법무시장에 미치는 파급효과 분석,정보,어려움,법무,KO,12,"법무분야, 지역, USP"
212,AI 기반 증권법 솔루션이 기장군 기업들의 비용 효율성 혁신에 미치는 영향 분석,거래,어려움,법무,KO,12,"법무분야, 지역"
213,계약법무 전문성을 동래구 지역 안정성와 연계하여 종합적으로 분석해주세요,정보,어려움,법무,KO,8,"법무분야, 지역"
214,부산 거제동 메가프로젝트 관련 조세법무 통합 자문에서 30년 업력 활용 극대화 전략,거래,어려움,법무,KO,12,"법무분야, 지역, USP"
215,경상남도 기반 글로벌 계약법무 프로젝트에서 경쟁력과 차별화 최적화 전략은?,정보,어려움,법무,KO,9,"법무분야, 지역"
216,부산 동남권 메가프로젝트 관련 지적재산권 통합 자문에서 노하우 활용 극대화 전략,거래,어려움,법무,KO,11,"법무분야, 지역, USP"
217,증권법 분야 ESG 컴플라이언스 구축 시 양산시 특화 솔루션과 시간 단축 ROI 분석,탐색,어려움,법무,KO,13,"법무분야, 지역"
218,IT통신 분야 ESG 컴플라이언스 구축 시 센텀시티 특화 솔루션과 혁신성 ROI 분석,거래,어려움,법무,KO,12,"법무분야, 지역"
219,행정법 전문성을 부산시 지역 접근성와 연계하여 종합적으로 분석해주세요,탐색,어려움,법무,KO,8,"법무분야, 지역"
220,형사법무 분야 ESG 컴플라이언스 구축 시 양산시 특화 솔루션과 신뢰도 ROI 분석,정보,어려움,법무,KO,12,"법무분야, 지역"
221,AI 기반 IT통신 솔루션이 해운대 기업들의 비용 효율성 혁신에 미치는 영향 분석,거래,어려움,법무,KO,12,"법무분야, 지역"
