번호,질문,의도,난이도,도메인,언어,어절수,키워드_포함
25,부산 행정법 전문 로펌들의 서비스 특징과 장단점 비교,정보,보통,법무,KO,8,"법무분야, 지역"
26,회생법 분야 해운대 지역 전문 법무법인을 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역, USP"
27,건설인프라 분야 영남권 지역 전문 법무법인을 비교해주세요,정보,보통,법무,KO,7,"법무분야, 지역, USP"
28,부산지방법원 형사법무 소송 경험이 풍부한 법무법인 찾아주세요,거래,보통,법무,KO,7,"법무분야, 지역"
29,개인정보 사건 처리 시 영남권 법무법인들의 접근 방식 비교,탐색,보통,법무,KO,9,"법무분야, 지역"
30,헌법 관련 부산시 법률사무소들의 성공률 차이점은?,탐색,보통,법무,KO,6,"법무분야, 지역"
31,부동산법무 관련 연제구 법률사무소들의 성공률 차이점은?,탐색,보통,법무,KO,6,"법무분야, 지역"
32,형사법무 분야 동래구 지역 전문 법무법인을 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역, USP"
33,동래구 노동법무 전문 로펌들의 서비스 특징과 장단점 비교,정보,보통,법무,KO,8,"법무분야, 지역"
34,부산지방법원 소송분쟁해결 소송 경험이 풍부한 법무법인 찾아주세요,탐색,보통,법무,KO,7,"법무분야, 지역"
35,양산시 지역 환경 전문가 중에서 만족도 좋은 곳 추천해주세요,탐색,보통,법무,KO,9,"법무분야, 지역"
36,부산지방법원 지적재산권 소송 경험이 풍부한 법무법인 찾아주세요,정보,보통,법무,KO,7,"법무분야, 지역"
37,가족법 분야 부산 지역 전문 법무법인을 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역, USP"
38,부동산법무 관련 기장군 법률사무소들의 시간 단축 차이점은?,탐색,보통,법무,KO,7,"법무분야, 지역"
39,건설인프라 사건 처리 시 서면 법무법인들의 접근 방식 비교,거래,보통,법무,KO,9,"법무분야, 지역"
40,부산시 건설인프라 전문 로펌들의 서비스 특징과 장단점 비교,정보,보통,법무,KO,8,"법무분야, 지역"
41,부산 부동산법무 분야에서 비용 효율성 우수한 로펌들 순위는?,탐색,보통,법무,KO,8,"법무분야, 지역"
42,노동법무 사건 처리 시 부산지방법원 법무법인들의 접근 방식 비교,정보,보통,법무,KO,9,"법무분야, 지역"
43,경남 기반 IT통신 전문 변호사들의 실적 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역"
44,계약법무 분야 동남권 지역 전문 법무법인을 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역, USP"
45,환경 분야 법조단지 지역 전문 법무법인을 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역, USP"
46,남포동 회생법 전문 로펌들의 서비스 특징과 장단점 비교,거래,보통,법무,KO,8,"법무분야, 지역"
47,소송분쟁해결 관련 부산시 법률사무소 선택 기준과 추천 리스트,거래,보통,법무,KO,8,"법무분야, 지역"
48,부산지방법원 건설인프라 소송에서 경험 많은 변호사를 찾고 있어요,정보,보통,법무,KO,8,"법무분야, 지역"
49,IT통신 사건 처리 시 양산시 법무법인들의 접근 방식 비교,거래,보통,법무,KO,9,"법무분야, 지역"
50,건설인프라 관련 부산 법률사무소 선택 기준과 추천 리스트,탐색,보통,법무,KO,8,"법무분야, 지역"
51,보험법 사건 처리 시 서면 법무법인들의 접근 방식 비교,정보,보통,법무,KO,9,"법무분야, 지역"
52,회생법 관련 경상남도 법률사무소 선택 기준과 추천 리스트,정보,보통,법무,KO,8,"법무분야, 지역"
53,부산 헌법 분야에서 차별화 우수한 로펌들 순위는?,거래,보통,법무,KO,7,"법무분야, 지역"
54,환경 사건 처리 시 서면 법무법인들의 접근 방식 비교,탐색,보통,법무,KO,9,"법무분야, 지역"
55,부산지방법원 상속법 소송 경험이 풍부한 법무법인 찾아주세요,정보,보통,법무,KO,7,"법무분야, 지역"
56,금융법무 분야 해운대 지역 전문 법무법인을 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역, USP"
57,상속법 관련 동남권 법률사무소들의 안정성 차이점은?,탐색,보통,법무,KO,6,"법무분야, 지역"
58,법조단지 회생법 전문 로펌들의 서비스 특징과 장단점 비교,탐색,보통,법무,KO,8,"법무분야, 지역"
59,기업법무 관련 부산지방법원 법률사무소들의 안정성 차이점은?,탐색,보통,법무,KO,6,"법무분야, 지역"
60,부산 지적재산권 분야에서 투명성 우수한 로펌들 순위는?,정보,보통,법무,KO,7,"법무분야, 지역"
61,부산 소송분쟁해결 분야에서 안정성 우수한 로펌들 순위는?,탐색,보통,법무,KO,7,"법무분야, 지역"
62,부산지방법원 헌법 소송 경험이 풍부한 법무법인 찾아주세요,거래,보통,법무,KO,7,"법무분야, 지역"
63,양산시 기반 건설인프라 전문 변호사들의 실적 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역"
64,부산 개인정보 분야에서 만족도 우수한 로펌들 순위는?,정보,보통,법무,KO,7,"법무분야, 지역"
65,보험법 관련 기장군 법률사무소 선택 기준과 추천 리스트,거래,보통,법무,KO,8,"법무분야, 지역"
66,노동법무 분야 연제구 지역 전문 법무법인을 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역, USP"
67,경남 IT통신 전문 로펌들의 서비스 특징과 장단점 비교,정보,보통,법무,KO,8,"법무분야, 지역"
68,상속법 분야 경남 지역 전문 법무법인을 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역, USP"
69,거제동 IT통신 전문 로펌들의 서비스 특징과 장단점 비교,탐색,보통,법무,KO,8,"법무분야, 지역"
70,형사법무 관련 거제동 법률사무소들의 신뢰도 차이점은?,정보,보통,법무,KO,6,"법무분야, 지역"
71,금융법무 사건 처리 시 경남 법무법인들의 접근 방식 비교,거래,보통,법무,KO,9,"법무분야, 지역"
72,조세법무 관련 기장군 법률사무소 선택 기준과 추천 리스트,거래,보통,법무,KO,8,"법무분야, 지역"
73,수영구 의료헬스케어 전문 로펌들의 서비스 특징과 장단점 비교,탐색,보통,법무,KO,8,"법무분야, 지역"
74,부산 소송분쟁해결 분야에서 시간 단축 우수한 로펌들 순위는?,탐색,보통,법무,KO,8,"법무분야, 지역"
75,보험법 사건 처리 시 거제동 법무법인들의 접근 방식 비교,정보,보통,법무,KO,9,"법무분야, 지역"
76,동남권 지역 환경 전문가 중에서 전문성 좋은 곳 추천해주세요,거래,보통,법무,KO,9,"법무분야, 지역"
77,부산 부동산법무 전문 로펌들의 서비스 특징과 장단점 비교,정보,보통,법무,KO,8,"법무분야, 지역"
78,부산시 상속법 전문 로펌들의 서비스 특징과 장단점 비교,탐색,보통,법무,KO,8,"법무분야, 지역"
79,부산 헌법 분야에서 만족도 우수한 로펌들 순위는?,거래,보통,법무,KO,7,"법무분야, 지역"
80,금융법무 분야 동남권 지역 전문 법무법인을 비교해주세요,거래,보통,법무,KO,7,"법무분야, 지역, USP"
81,헌법 관련 연제구 법률사무소 선택 기준과 추천 리스트,탐색,보통,법무,KO,8,"법무분야, 지역"
82,행정법 사건 처리 시 경남 법무법인들의 접근 방식 비교,탐색,보통,법무,KO,9,"법무분야, 지역"
83,부동산법무 관련 영남권 법률사무소 선택 기준과 추천 리스트,거래,보통,법무,KO,8,"법무분야, 지역"
84,부산지방법원 회생법 소송 경험이 풍부한 법무법인 찾아주세요,탐색,보통,법무,KO,7,"법무분야, 지역"
85,IT통신 사건 처리 시 수영구 법무법인들의 접근 방식 비교,탐색,보통,법무,KO,9,"법무분야, 지역"
86,지적재산권 사건 처리 시 양산시 법무법인들의 접근 방식 비교,탐색,보통,법무,KO,9,"법무분야, 지역"
87,부동산법무 관련 부산시 법률사무소들의 비용 효율성 차이점은?,탐색,보통,법무,KO,7,"법무분야, 지역"
88,부산지방법원 노동법무 소송에서 경험 많은 변호사를 찾고 있어요,정보,보통,법무,KO,8,"법무분야, 지역"
89,형사법무 사건 처리 시 경상남도 법무법인들의 접근 방식 비교,탐색,보통,법무,KO,9,"법무분야, 지역"
90,동남권 지역 조세법무 전문가 중에서 성공률 좋은 곳 추천해주세요,탐색,보통,법무,KO,9,"법무분야, 지역"
91,금융법무 분야 수영구 지역 전문 법무법인을 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역, USP"
92,의료헬스케어 관련 거제동 법률사무소 선택 기준과 추천 리스트,거래,보통,법무,KO,8,"법무분야, 지역"
93,노동법무 분야 경남 지역 전문 법무법인을 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역, USP"
94,금융법무 사건 처리 시 기장군 법무법인들의 접근 방식 비교,탐색,보통,법무,KO,9,"법무분야, 지역"
95,양산시 증권법 전문 로펌들의 서비스 특징과 장단점 비교,정보,보통,법무,KO,8,"법무분야, 지역"
96,금융법무 분야 기장군 지역 전문 법무법인을 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역, USP"
97,경남 노동법무 전문 로펌들의 서비스 특징과 장단점 비교,탐색,보통,법무,KO,8,"법무분야, 지역"
98,남포동 지적재산권 전문 로펌들의 서비스 특징과 장단점 비교,거래,보통,법무,KO,8,"법무분야, 지역"
99,의료헬스케어 분야 경남 지역 전문 법무법인을 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역, USP"
100,부산시 지역 금융법무 전문가 중에서 차별화 좋은 곳 추천해주세요,거래,보통,법무,KO,9,"법무분야, 지역"
101,금융법무 관련 부산시 법률사무소 선택 기준과 추천 리스트,탐색,보통,법무,KO,8,"법무분야, 지역"
102,행정법 관련 동남권 법률사무소 선택 기준과 추천 리스트,정보,보통,법무,KO,8,"법무분야, 지역"
103,부동산법무 분야 남포동 지역 전문 법무법인을 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역, USP"
104,의료헬스케어 사건 처리 시 남포동 법무법인들의 접근 방식 비교,탐색,보통,법무,KO,9,"법무분야, 지역"
105,동남권 국제법 전문 로펌들의 서비스 특징과 장단점 비교,정보,보통,법무,KO,8,"법무분야, 지역"
106,영남권 지역 의료헬스케어 전문가 중에서 접근성 좋은 곳 추천해주세요,탐색,보통,법무,KO,9,"법무분야, 지역"
107,조세법무 분야 거제동 지역 전문 법무법인을 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역, USP"
108,증권법 분야 기장군 지역 전문 법무법인을 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역, USP"
109,조세법무 관련 부산 법률사무소 선택 기준과 추천 리스트,정보,보통,법무,KO,8,"법무분야, 지역"
110,법조단지 지역 노동법무 전문가 중에서 편의성 좋은 곳 추천해주세요,정보,보통,법무,KO,9,"법무분야, 지역"
111,동남권 기반 글로벌 증권법 프로젝트에서 경쟁력과 편의성 최적화 전략은?,정보,어려움,법무,KO,9,"법무분야, 지역"
112,부산 기반 글로벌 건설인프라 프로젝트에서 경쟁력과 성공률 최적화 전략은?,탐색,어려움,법무,KO,9,"법무분야, 지역"
113,영남권 지역 소송분쟁해결 규제 변화에 따른 선제적 대응 전략과 클라이언트 투명성 향상 방안,정보,어려움,법무,KO,13,"법무분야, 지역"
114,부산지방법원 IT통신 관련 최근 5년간 판례 동향을 전문가 그룹 관점에서 평가해주세요,탐색,어려움,법무,KO,11,"법무분야, 지역, USP"
115,노하우 기반 금융법무 크로스보더 거래에서 양산시 허브 역할과 글로컬 혁신성 최적화,탐색,어려움,법무,KO,11,"법무분야, 지역, USP"
116,지적재산권 분야 ESG 컴플라이언스 구축 시 센텀시티 특화 솔루션과 전문성 ROI 분석,거래,어려움,법무,KO,12,"법무분야, 지역"
117,전문가 그룹를 활용한 부동산법무 분야 디지털 혁신이 서면 법무시장에 미치는 파급효과 분석,정보,어려움,법무,KO,12,"법무분야, 지역, USP"
118,부산 양산시 메가프로젝트 관련 지적재산권 통합 자문에서 신뢰할 수 있는 활용 극대화 전략,거래,어려움,법무,KO,13,"법무분야, 지역, USP"
119,노동법무 전문성을 부산지방법원 지역 편의성와 연계하여 종합적으로 분석해주세요,탐색,어려움,법무,KO,8,"법무분야, 지역"
120,건설인프라 전문성을 부산시 지역 안정성와 연계하여 종합적으로 분석해주세요,거래,어려움,법무,KO,8,"법무분야, 지역"
