원본_행,질문,추출된_의도,추출된_난이도,추출된_버킷타입,검수_점수,검수_통과,검수_사유,원본_의도,원본_난이도,검수_점수_원본
58,동남권 지역 조세법무 전문가로서 동래 로펌의 전문가 그룹 장점,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,보통,0.85
49,동래 법률사무소 IT통신 분야 법률 파트너 기반 구체적인 사례 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
41,법제처 관련 법조단지 조세법무 사건에서 동래 로펌 실적은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention,정보,보통,0.85
43,ESG 트렌드에 따른 동래 로펌 형사법무 서비스 전문성 변화,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
44,센텀시티 소송분쟁해결 시장에서 동래 로펌의 전문성 경쟁력은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,보통,0.85
45,스타트업 트렌드에 따른 동래 로펌 의료헬스케어 서비스 전문성 변화,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,보통,0.85
46,시행규칙 관련 거제동 IT통신 사건에서 동래 로펌 실적은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention,정보,보통,0.85
47,동래 법률사무소 금융법무 분야 원스톱 기반 상세한 절차 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
48,동래 법률사무소 환경 분야 법률 파트너 기반 실무 경험 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
50,민법 관련 울산 환경 사건에서 동래 로펌 실적은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
59,부산시 조세법무 시장에서 동래 로펌의 전문성 경쟁력은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant regional context.,정보,보통,0.85
51,부산지방법원 의료헬스케어 시장에서 동래 로펌의 전문성 경쟁력은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,보통,0.85
53,울산 지역 노동법무 전문가로서 동래 로펌의 신뢰할 수 있는 장점,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
54,동래 법률사무소 금융법무 분야 지역밀착 기반 배경 자세히 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,보통,0.85
55,울산 지역 형사법무 전문가로서 동래 로펌의 영남권 최고 장점,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant regional context.,정보,보통,0.85
39,경상남도 건설인프라 시장에서 동래 로펌의 전문성 경쟁력은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,보통,0.85
60,법령 관련 양산시 지적재산권 사건에서 동래 로펌 실적은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention,정보,보통,0.85
40,기장군 지역 형사법무 전문가로서 동래 로펌의 전문 노하우 장점,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
34,라이선스계약 트렌드에 따른 동래 로펌 환경 서비스 전문성 변화,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
38,개인정보보호법 관련 수영구 의료헬스케어 사건에서 동래 로펌 실적은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
37,M&A 트렌드에 따른 동래 로펌 IT통신 서비스 전문성 변화,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
28,부산 경남 건설업체 대상 동래 법률사무소의 건설분쟁 해결 프로세스는?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,보통,0.85
18,동래 법률사무소가 처리한 부산 지역 집단소송 사건의 승소율과 주요 전략은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
29,동래 로펌의 개인정보보호 컴플라이언스 구축 서비스가 부산 기업들에게 미치는 효과는?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant regional context.,정보,보통,0.85
30,부산지방법원 환경소송에서 동래 법률사무소의 전문성과 대응 전략은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
24,기업설립 트렌드에 따른 동래 로펌 환경 서비스 전문성 변화,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
25,동래 법률사무소 기업법무 분야 지역밀착 기반 실무 경험 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
26,동래 법률사무소 계약법무 분야 전문 노하우 기반 실무 경험 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention,정보,보통,0.85
27,판례 관련 거제동 계약법무 사건에서 동래 로펌 실적은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention,정보,보통,0.85
28,M&A 트렌드에 따른 동래 로펌 기업법무 서비스 전문성 변화,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
29,동래 법률사무소 소송분쟁해결 분야 전문가 그룹 기반 실무 경험 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention,정보,보통,0.85
30,김해 지역 소송분쟁해결 전문가로서 동래 로펌의 법률 파트너 장점,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,보통,0.85
31,부산지방법원 지역 노동법무 전문가로서 동래 로펌의 부산 대표 로펌 장점,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant regional context.,정보,보통,0.85
32,동래 법률사무소 건설인프라 분야 전문가 그룹 기반 구체적인 사례 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention,정보,보통,0.85
33,시행규칙 관련 서면 계약법무 사건에서 동래 로펌 실적은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention,정보,보통,0.85
27,동래 로펌이 부산 의료기관 대상으로 제공하는 의료분쟁 예방 법무서비스 내용은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
35,동래 법률사무소 IT통신 분야 전문 노하우 기반 최근 성과 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention,정보,보통,0.85
36,집단소송 트렌드에 따른 동래 로펌 기업법무 서비스 전문성 변화,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
61,기업지배구조 트렌드에 따른 동래 로펌 금융법무 서비스 전문성 변화,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통,0.85
52,거제동 지역 의료헬스케어 전문가로서 동래 로펌의 전문 노하우 장점,정보,보통,branded,0.75,통과,"The question mentions the brand '동래' and is clear, but lacks specific legal concepts or practice areas.",정보,보통,0.75
42,법조단지 지역 의료헬스케어 전문가로서 동래 로펌의 30년 업력 장점,정보,보통,branded,0.75,통과,"The question mentions the brand '동래' and is clear, but it lacks specific legal concepts or practice areas.",정보,보통,0.75
197,동래 로펌의 노하우를 활용한 형사법무 분야 디지털 혁신이 부산 법무시장에 미치는 파급효과 분석,정보,어려움,branded,1.0,통과,"Excellent legal question with proper brand mention, relevant legal concepts, regional context, and clear language.",정보,어려움,1.0
193,부산시 지역 계약법무 규제 변화에 따른 동래 로펌의 선제적 대응 전략과 클라이언트 안정성 향상 방안,정보,어려움,branded,1.0,통과,"Excellent legal question with proper brand mention, relevant legal concepts, regional context, and clear language.",정보,어려움,1.0
193,부산시 지역 계약법무 규제 변화에 따른 동래 로펌의 선제적 대응 전략과 클라이언트 안정성 향상 방안,정보,어려움,branded,1.0,통과,"Excellent legal question with proper brand mention, relevant legal concepts, regional context, and clear language.",정보,어려움,1.0
197,동래 로펌의 노하우를 활용한 형사법무 분야 디지털 혁신이 부산 법무시장에 미치는 파급효과 분석,정보,어려움,branded,1.0,통과,"Excellent legal question with proper brand mention, relevant legal concepts, regional context, and clear language.",정보,어려움,1.0
37,동래 로펌의 합리적 수임료 정책이 부산 법무시장의 가격 경쟁력에 미치는 파급효과를 분석해주세요,정보,어려움,branded,1.0,통과,"Excellent legal question with proper brand mention, relevant legal context, and regional focus.",정보,어려움,1.0
88,집단소송 환경에서 동래 로펌의 노동법무 전문성과 기장군 지역 전문성 혁신 전략 심층 분석,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and clear language.",정보,어려움,0.95
173,부산지방법원 복합 증권법 사건에서 동래 법률사무소의 다학제적 접근법과 안정성 효율성 평가,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and regional context.",정보,어려움,0.95
143,동래 법률사무소의 증권법 전문성을 남포동 지역 접근성와 연계하여 종합적으로 분석해주세요,정보,어려움,branded,0.95,통과,"The question effectively mentions the brand '동래', discusses legal expertise in securities law, and connects it to regional accessibility, demonstrating clarity and relevance.",정보,어려움,0.95
36,부산 해운대 법조단지 내 동래 법률사무소의 포지셔닝과 향후 10년 성장 전략을 예측해주세요,정보,어려움,branded,0.95,통과,"Well-structured question with brand mention, legal relevance, and regional context.",정보,어려움,0.95
189,동래 법률사무소의 AI 기반 소송분쟁해결 솔루션이 영남권 기업들의 비용 효율성 혁신에 미치는 영향 분석,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and clear language.",정보,어려움,0.95
201,경상남도 지역 국제법 규제 변화에 따른 동래 로펌의 선제적 대응 전략과 클라이언트 비용 효율성 향상 방안,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and clear language.",정보,어려움,0.95
180,기업법무 분야 ESG 컴플라이언스 구축 시 동래 법률사무소의 해운대 특화 솔루션과 투명성 ROI 분석,정보,어려움,branded,0.95,통과,"Excellent legal relevance with brand mention, clear and specific to the regional context.",정보,어려움,0.95
162,동래 법률사무소의 AI 기반 개인정보 솔루션이 수영구 기업들의 신뢰도 혁신에 미치는 영향 분석,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and clear language.",정보,어려움,0.95
149,동래 로펌의 법률 파트너를 활용한 형사법무 분야 디지털 혁신이 부산지방법원 법무시장에 미치는 파급효과 분석,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and regional context.",정보,어려움,0.95
135,동래 법률사무소의 AI 기반 부동산법무 솔루션이 기장군 기업들의 안정성 혁신에 미치는 영향 분석,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and clear language.",정보,어려움,0.95
86,크로스보더 환경에서 동래 로펌의 노동법무 전문성과 거제동 지역 전문성 혁신 전략 심층 분석,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and clear language.",정보,어려움,0.95
85,동래 로펌의 지역밀착를 활용한 형사법무 분야 기업지배구조 전략과 부산 시장 전문성 최적화 방안을 상세한 절차 분석해주세요,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and regional context.",정보,어려움,0.95
87,컴플라이언스 환경에서 동래 로펌의 노동법무 전문성과 울산 지역 전문성 혁신 전략 심층 분석,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and clear language.",정보,어려움,0.95
101,양산시 개인정보 규제 변화에 따른 동래 법률사무소의 영남권 최고 기반 선제적 대응과 전문성 향상 방안,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and regional context.",정보,어려움,0.95
136,동래구 지역 헌법 규제 변화에 따른 동래 로펌의 선제적 대응 전략과 클라이언트 안정성 향상 방안,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and clear language.",정보,어려움,0.95
187,동래 로펌의 원스톱를 활용한 개인정보 분야 디지털 혁신이 동남권 법무시장에 미치는 파급효과 분석,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and clear language.",정보,어려움,0.95
106,부산지방법원 개인정보 관련 최근 5년간 판례 동향을 동래 로펌의 부산 대표 로펌 관점에서 평가해주세요,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and regional context.",정보,어려움,0.95
81,동남권 계약법무 규제 변화에 따른 동래 법률사무소의 부산 대표 로펌 기반 선제적 대응과 전문성 향상 방안,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and regional context.",정보,어려움,0.95
109,부동산법무 분야 ESG 컴플라이언스 구축 시 동래 법률사무소의 거제동 특화 솔루션과 투명성 ROI 분석,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and clear language.",정보,어려움,0.95
105,부산지방법원 복합 상속법 사건에서 동래 법률사무소의 다학제적 접근법과 전문성 효율성 평가,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and regional context.",정보,어려움,0.95
124,동래 로펌의 실무진 기반 상속법 크로스보더 거래에서 서면 허브 역할과 글로컬 차별화 최적화,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and clear language.",정보,어려움,0.95
173,부산지방법원 복합 증권법 사건에서 동래 법률사무소의 다학제적 접근법과 안정성 효율성 평가,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and regional context.",정보,어려움,0.95
144,연제구 지역 조세법무 규제 변화에 따른 동래 로펌의 선제적 대응 전략과 클라이언트 접근성 향상 방안,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and regional context.",정보,어려움,0.95
