question,intent,difficulty,domain,lang,original_index,practice_area,region,firm_name,eval_pass,eval_score,eval_reason,eval_timestamp,eval_raw
형사법무 관련 지원인력와 절차를 부산 기준으로 설명해주세요,거래상담,보통,동래,KO,17,형사법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:34.008835,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부산 기업법무 전문 변호사 총비용 상담받고 싶어요,거래상담,보통,동래,KO,18,기업법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:35.262367,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
2019-2023년 기준 부산 형사법무 분야의 성공보수를 알려줘요,정보조회,보통,동래,KO,19,형사법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:36.557154,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
지적재산권 관련 착수금 통계를 2025년 기간으로 정리해주세요,정보조회,보통,동래,KO,20,지적재산권,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:37.838118,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
조세법무 사건의 총비용 기준과 부산 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요,거래상담,보통,동래,KO,21,조세법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:39.099619,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부산 환경법무 전문 변호사 변호사인원 상담받고 싶어요,거래상담,보통,동래,KO,22,환경법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:40.327394,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
조세법무 관련 해결율와 절차를 부산 기준으로 설명해주세요,거래상담,보통,동래,KO,23,조세법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:41.558510,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
환경법무 관련 법적정확성 통계를 최근3년 기간으로 정리해주세요,정보조회,보통,동래,KO,24,환경법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:43.066495,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부산에서 조세법무 전문 로펌을 어디서 찾을 수 있나요?,정보조회,쉬움,동래,KO,25,조세법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:44.484839,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
법무법인 동래에서 노동법무 사건의 총비용와 서비스 내용을 상담받고 싶습니다,거래상담,보통,동래,KO,26,노동법무,양산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:45.725322,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부산서면 환경법무 전문 변호사 파트너수 상담받고 싶어요,거래상담,보통,동래,KO,27,환경법무,부산서면,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:46.970930,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
지적재산권 관련 착수금와 절차를 부산해운대 기준으로 설명해주세요,거래상담,보통,동래,KO,28,지적재산권,부산해운대,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:48.199655,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
경남에서 지적재산권 전문 변호사의 착수금와 부산지방법원 정보를 종합해서 설명해주세요,정보조회,보통,동래,KO,29,지적재산권,경남,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:49.458033,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
경남 지적재산권 분야 법적정확성 현황을 10년추세 기준으로 알려줘요,정보조회,보통,동래,KO,30,지적재산권,경남,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:50.702853,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
계약법무 관련 해결율와 절차를 창원 기준으로 설명해주세요,거래상담,보통,동래,KO,31,계약법무,창원,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:51.937664,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
소송및분쟁해결 사건의 법적정확성 기준과 부산 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요,거래상담,보통,동래,KO,32,소송및분쟁해결,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:53.173249,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
법무법인 동래에서 의료헬스케어법무 사건의 브랜드인지도와 서비스 내용을 상담받고 싶습니다,거래상담,보통,동래,KO,33,의료헬스케어법무,부산연제구,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:54.420737,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
최근3년 동안 김해 계약법무 변호사 법적정확성 평균은?,정보조회,보통,동래,KO,34,계약법무,김해,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:55.703932,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
2024년 기준 울산 기업법무 분야의 수임료를 알려줘요,정보조회,보통,동래,KO,35,기업법무,울산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:56.949035,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
개인정보보호 관련 시장점유율와 절차를 창원 기준으로 설명해주세요,거래상담,보통,동래,KO,36,개인정보보호,창원,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:58.188623,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
2025년 기준 부산해운대 소송및분쟁해결 변호사 지원인력 평균은?,거래상담,보통,동래,KO,37,소송및분쟁해결,부산해운대,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:07:59.457825,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부울경 노동법무 전문 변호사 지원인력 상담받고 싶어요,거래상담,보통,동래,KO,38,노동법무,부울경,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:08:00.710433,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
건설인프라법무 관련 시장점유율 통계를 2025년 기간으로 정리해주세요,정보조회,보통,동래,KO,39,건설인프라법무,부산해운대,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:08:02.310626,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부울경 형사법무 분야 지원인력 현황을 2019-2023년 기준으로 알려줘요,정보조회,보통,동래,KO,40,형사법무,부울경,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:08:03.556228,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
형사법무 사건의 고객대응품질 기준과 부산해운대 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요,거래상담,보통,동래,KO,41,형사법무,부산해운대,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:08:04.791063,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부산서면 의료헬스케어법무 전문 변호사 시간당비용 상담받고 싶어요,거래상담,보통,동래,KO,42,의료헬스케어법무,부산서면,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:08:06.200647,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
법무법인 동래에서 노동법무 사건의 전문성와 서비스 내용을 상담받고 싶습니다,거래상담,보통,동래,KO,43,노동법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:08:07.463980,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
환경법무 관련 승소율 통계를 팬데믹이후 기간으로 정리해주세요,정보조회,보통,동래,KO,44,환경법무,창원,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:08:08.704897,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
계약법무 관련 시장점유율 통계를 2019-2023년 기간으로 정리해주세요,정보조회,보통,동래,KO,45,계약법무,김해,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:08:09.954667,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
울산 환경법무 전문 변호사 브랜드인지도 상담받고 싶어요,거래상담,보통,동래,KO,46,환경법무,울산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:08:11.197319,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
법무법인 동래에서 부동산법무 사건의 고객대응품질와 서비스 내용을 상담받고 싶습니다,거래상담,보통,동래,KO,47,부동산법무,양산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:08:12.447446,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
경남 기업법무 전문 변호사 수임료 상담받고 싶어요,거래상담,보통,동래,KO,48,기업법무,경남,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:08:13.671284,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
IT통신법무 관련 변호사인원 통계를 최근3년 기간으로 정리해주세요,정보조회,보통,동래,KO,49,IT통신법무,부산연제구,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:08:14.905779,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
10년추세 동안 부산해운대 의료헬스케어법무 변호사 서비스품질 평균은?,정보조회,보통,동래,KO,50,의료헬스케어법무,부산해운대,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:08:16.169787,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부산연제구 조세법무 전문 변호사 전문성 상담받고 싶어요,거래상담,보통,동래,KO,51,조세법무,부산연제구,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:08:17.432667,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
법무법인 동래에서 개인정보보호 사건의 시간당비용와 서비스 내용을 상담받고 싶습니다,거래상담,보통,동래,KO,52,개인정보보호,울산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:08:18.792840,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
법무법인 동래에서 지적재산권 사건의 총비용와 서비스 내용을 상담받고 싶습니다,거래상담,보통,동래,KO,53,지적재산권,양산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:08:20.042962,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
