prompt,query,sample_id,template_used,extracted_keywords_practice_area,extracted_keywords_region,extracted_keywords_metric,extracted_keywords_intent,extracted_keywords_difficulty,final_parameters_practice_area,final_parameters_metric,final_parameters_region,final_parameters_time_span,final_parameters_source_hint,final_parameters_language_ratio,final_parameters_intent,final_parameters_difficulty,brand_info_name,brand_info_english_name,brand_info_website,brand_info_location,brand_info_phone,brand_info_established,brand_info_experience,brand_info_specialties,brand_info_slogan,brand_info_target_regions
조세법무 관련 전문인력 통계를 2019-2023년 기간으로 정리해주세요,전문적으로 부산에서 교통사고 변호사를 찾고 있어요,clean_prompt_0011,조세법무 관련 전문인력 통계를 2019-2023년 기간으로 정리해주세요,,부산,,정보조회,보통,조세법무,전문인력,부산,2019-2023년,법무부통계,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
법무법인 동래에서 환경법무 사건의 지원인력와 서비스 내용을 상담받고 싶습니다,전문적으로 부산에서 교통사고 변호사를 찾고 있어요 도움주세요,clean_prompt_0012,법무법인 동래에서 환경법무 사건의 지원인력와 서비스 내용을 상담받고 싶습니다,,부산,,거래상담,보통,환경법무,지원인력,부산,최근5년,법원행정처,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
기업법무 관련 지원인력와 절차를 부산 기준으로 설명해주세요,전문적으로 부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요,clean_prompt_0013,기업법무 관련 지원인력와 절차를 부산 기준으로 설명해주세요,,부산,,거래상담,보통,기업법무,지원인력,부산,팬데믹이후,법원행정처,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
법무법인 동래에서 소송및분쟁해결 사건의 전문성와 서비스 내용을 상담받고 싶습니다,전문적으로 부산에서 교통사고 변호사를 찾고 있어요 문의드려요,clean_prompt_0014,법무법인 동래에서 소송및분쟁해결 사건의 전문성와 서비스 내용을 상담받고 싶습니다,,부산,,거래상담,보통,소송및분쟁해결,전문성,부산,최근3년,대법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산에서 부동산법무 전문 변호사의 브랜드인지도와 부산법원 정보를 종합해서 설명해주세요,전문적으로 부산에서 교통사고 변호사를 찾고 있어요 알려주세요,clean_prompt_0015,부산에서 부동산법무 전문 변호사의 브랜드인지도와 부산법원 정보를 종합해서 설명해주세요,,부산,,정보조회,보통,부동산법무,브랜드인지도,부산,최근5년,부산법원,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
소송및분쟁해결 관련 수임료 통계를 최근3년 기간으로 정리해주세요,신속하게 부산에서 교통사고 변호사를 찾고 있어요,clean_prompt_0016,소송및분쟁해결 관련 수임료 통계를 최근3년 기간으로 정리해주세요,,부산,,정보조회,보통,소송및분쟁해결,수임료,부산,최근3년,법률신문,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
팬데믹이후 기준 부산 기업법무 변호사 성공보수 평균은?,신속하게 부산에서 교통사고 변호사를 찾고 있어요 도움주세요,clean_prompt_0017,팬데믹이후 기준 부산 기업법무 변호사 성공보수 평균은?,,부산,,거래상담,보통,기업법무,성공보수,부산,팬데믹이후,부산변협,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
형사법무 관련 지원인력와 절차를 부산 기준으로 설명해주세요,신속하게 부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요,clean_prompt_0018,형사법무 관련 지원인력와 절차를 부산 기준으로 설명해주세요,,부산,,거래상담,보통,형사법무,지원인력,부산,10년추세,대한변협,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 기업법무 전문 변호사 총비용 상담받고 싶어요,신속하게 부산에서 교통사고 변호사를 찾고 있어요 문의드려요,clean_prompt_0019,부산 기업법무 전문 변호사 총비용 상담받고 싶어요,,부산,,거래상담,보통,기업법무,총비용,부산,최근3년,대법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
2019-2023년 기준 부산 형사법무 분야의 성공보수를 알려줘요,신속하게 부산에서 교통사고 변호사를 찾고 있어요 알려주세요,clean_prompt_0020,2019-2023년 기준 부산 형사법무 분야의 성공보수를 알려줘,,부산,,정보조회,보통,형사법무,성공보수,부산,2019-2023년,부산법원,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
지적재산권 관련 착수금 통계를 2025년 기간으로 정리해주세요,정확하게 부산에서 교통사고 변호사를 찾고 있어요,clean_prompt_0021,지적재산권 관련 착수금 통계를 2025년 기간으로 정리해주세요,,부산,,정보조회,보통,지적재산권,착수금,부산,2025년,대법원,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
조세법무 사건의 총비용 기준과 부산 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요,정확하게 부산에서 교통사고 변호사를 찾고 있어요 도움주세요,clean_prompt_0022,조세법무 사건의 총비용 기준과 부산 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요,,부산,,거래상담,보통,조세법무,총비용,부산,2025년,대한변협,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 환경법무 전문 변호사 변호사인원 상담받고 싶어요,정확하게 부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요,clean_prompt_0023,부산 환경법무 전문 변호사 변호사인원 상담받고 싶어요,,부산,,거래상담,보통,환경법무,변호사인원,부산,팬데믹이후,대법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
조세법무 관련 해결율와 절차를 부산 기준으로 설명해주세요,정확하게 부산에서 교통사고 변호사를 찾고 있어요 문의드려요,clean_prompt_0024,조세법무 관련 해결율와 절차를 부산 기준으로 설명해주세요,,부산,,거래상담,보통,조세법무,해결율,부산,2024년,부산지법,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
환경법무 관련 법적정확성 통계를 최근3년 기간으로 정리해주세요,정확하게 부산에서 교통사고 변호사를 찾고 있어요 알려주세요,clean_prompt_0025,환경법무 관련 법적정확성 통계를 최근3년 기간으로 정리해주세요,,부산,,정보조회,보통,환경법무,법적정확성,부산,최근3년,부산법원,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산에서 조세법무 전문 로펌을 어디서 찾을 수 있나요?,이혼 절차와 비용이 궁금합니다,clean_prompt_0026,부산에서 조세법무 전문 로펌을 어디서 찾을 수 있나요?,,,,정보조회,쉬움,조세법무,전문성,부산,2019-2023년,법원행정처,KO 0.9 : EN 0.1,정보조회,쉬움,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
법무법인 동래에서 노동법무 사건의 총비용와 서비스 내용을 상담받고 싶습니다,이혼 절차와 비용이 궁금합니다 도움주세요,clean_prompt_0027,법무법인 동래에서 노동법무 사건의 총비용와 서비스 내용을 상담받고 싶습니다,,,,거래상담,보통,노동법무,총비용,양산,팬데믹이후,KISDI,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산서면 환경법무 전문 변호사 파트너수 상담받고 싶어요,이혼 절차와 비용이 궁금합니다 상담받고 싶어요,clean_prompt_0028,부산서면 환경법무 전문 변호사 파트너수 상담받고 싶어요,,,,거래상담,보통,환경법무,파트너수,부산서면,팬데믹이후,대한변협,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
지적재산권 관련 착수금와 절차를 부산해운대 기준으로 설명해주세요,이혼 절차와 비용이 궁금합니다 문의드려요,clean_prompt_0029,지적재산권 관련 착수금와 절차를 부산해운대 기준으로 설명해주세요,,,,거래상담,보통,지적재산권,착수금,부산해운대,10년추세,법원행정처,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
경남에서 지적재산권 전문 변호사의 착수금와 부산지방법원 정보를 종합해서 설명해주세요,이혼 절차와 비용이 궁금합니다 알려주세요,clean_prompt_0030,경남에서 지적재산권 전문 변호사의 착수금와 부산지방법원 정보를 종합해서 설명해주세요,,,,정보조회,보통,지적재산권,착수금,경남,2019-2023년,부산지방법원,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
경남 지적재산권 분야 법적정확성 현황을 10년추세 기준으로 알려줘요,급하게 이혼 절차와 비용이 궁금합니다,clean_prompt_0031,경남 지적재산권 분야 법적정확성 현황을 10년추세 기준으로 알려줘,,,,정보조회,보통,지적재산권,법적정확성,경남,10년추세,KISDI,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
계약법무 관련 해결율와 절차를 창원 기준으로 설명해주세요,급하게 이혼 절차와 비용이 궁금합니다 도움주세요,clean_prompt_0032,계약법무 관련 해결율와 절차를 창원 기준으로 설명해주세요,,,,거래상담,보통,계약법무,해결율,창원,2019-2023년,부산지방법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
소송및분쟁해결 사건의 법적정확성 기준과 부산 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요,급하게 이혼 절차와 비용이 궁금합니다 상담받고 싶어요,clean_prompt_0033,소송및분쟁해결 사건의 법적정확성 기준과 부산 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요,,,,거래상담,보통,소송및분쟁해결,법적정확성,부산,10년추세,대한변협,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
법무법인 동래에서 의료헬스케어법무 사건의 브랜드인지도와 서비스 내용을 상담받고 싶습니다,급하게 이혼 절차와 비용이 궁금합니다 문의드려요,clean_prompt_0034,법무법인 동래에서 의료헬스케어법무 사건의 브랜드인지도와 서비스 내용을 상담받고 싶습니다,,,,거래상담,보통,의료헬스케어법무,브랜드인지도,부산연제구,2025년,부산지방법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
최근3년 동안 김해 계약법무 변호사 법적정확성 평균은?,급하게 이혼 절차와 비용이 궁금합니다 알려주세요,clean_prompt_0035,최근3년 동안 김해 계약법무 변호사 법적정확성 평균은?,,,,정보조회,보통,계약법무,법적정확성,김해,최근3년,대법원,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
2024년 기준 울산 기업법무 분야의 수임료를 알려줘요,전문적으로 이혼 절차와 비용이 궁금합니다,clean_prompt_0036,2024년 기준 울산 기업법무 분야의 수임료를 알려줘,,,,정보조회,보통,기업법무,수임료,울산,2024년,부산지방법원,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
개인정보보호 관련 시장점유율와 절차를 창원 기준으로 설명해주세요,전문적으로 이혼 절차와 비용이 궁금합니다 도움주세요,clean_prompt_0037,개인정보보호 관련 시장점유율와 절차를 창원 기준으로 설명해주세요,,,,거래상담,보통,개인정보보호,시장점유율,창원,팬데믹이후,법률신문,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
2025년 기준 부산해운대 소송및분쟁해결 변호사 지원인력 평균은?,전문적으로 이혼 절차와 비용이 궁금합니다 상담받고 싶어요,clean_prompt_0038,2025년 기준 부산해운대 소송및분쟁해결 변호사 지원인력 평균은?,,,,거래상담,보통,소송및분쟁해결,지원인력,부산해운대,2025년,부산지방법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부울경 노동법무 전문 변호사 지원인력 상담받고 싶어요,전문적으로 이혼 절차와 비용이 궁금합니다 문의드려요,clean_prompt_0039,부울경 노동법무 전문 변호사 지원인력 상담받고 싶어요,,,,거래상담,보통,노동법무,지원인력,부울경,최근5년,부산지방법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
건설인프라법무 관련 시장점유율 통계를 2025년 기간으로 정리해주세요,전문적으로 이혼 절차와 비용이 궁금합니다 알려주세요,clean_prompt_0040,건설인프라법무 관련 시장점유율 통계를 2025년 기간으로 정리해주세요,,,,정보조회,보통,건설인프라법무,시장점유율,부산해운대,2025년,부산지방법원,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
