prompt,extracted_keywords_practice_area,extracted_keywords_region,extracted_keywords_metric,extracted_keywords_intent,extracted_keywords_difficulty,final_parameters_practice_area,final_parameters_metric,final_parameters_region,final_parameters_time_span,final_parameters_source_hint,final_parameters_language_ratio,final_parameters_intent,final_parameters_difficulty,template_used,brand_info_name,brand_info_english_name,brand_info_website,brand_info_location,brand_info_phone,brand_info_established,brand_info_experience,brand_info_specialties,brand_info_slogan,brand_info_target_regions,sample_id,query
(부산)에서 (개인정보보호) 전문 변호사의 (서비스품질)와 (부산법원) 정보를 종합해서 설명해주세요.,,부산,,정보조회,보통,개인정보보호,서비스품질,부산,팬데믹이후,부산법원,KO 0.9 : EN 0.1,정보조회,보통,(부산)에서 (개인정보보호) 전문 변호사의 (서비스품질)와 (부산법원) 정보를 종합해서 설명해주세요.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0011,전문적으로 부산에서 교통사고 변호사를 찾고 있어요
(지적재산권) 사건의 (법적정확성) 기준과 (부산) 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요.,,부산,,거래상담,보통,지적재산권,법적정확성,부산,2024년,부산지법,KO 0.9 : EN 0.1,거래상담,보통,(지적재산권) 사건의 (법적정확성) 기준과 (부산) 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0012,전문적으로 부산에서 교통사고 변호사를 찾고 있어요 도움주세요
(2024년) 기준 (부산) (기업법무) 변호사 (시간당비용) 평균은?,,부산,,거래상담,보통,기업법무,시간당비용,부산,2024년,KISDI,KO 0.9 : EN 0.1,거래상담,보통,(2024년) 기준 (부산) (기업법무) 변호사 (시간당비용) 평균은?,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0013,전문적으로 부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요
법무법인 동래에서 (계약법무) 사건의 (서비스품질)와 서비스 내용을 상담받고 싶습니다.,,부산,,거래상담,보통,계약법무,서비스품질,부산,최근3년,KISDI,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래에서 (계약법무) 사건의 (서비스품질)와 서비스 내용을 상담받고 싶습니다.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0014,전문적으로 부산에서 교통사고 변호사를 찾고 있어요 문의드려요
(최근3년) 기준 (부산) (개인정보보호) 분야의 (승소율)를 알려줘.,,부산,,정보조회,보통,개인정보보호,승소율,부산,최근3년,법무부통계,KO 0.9 : EN 0.1,정보조회,보통,(최근3년) 기준 (부산) (개인정보보호) 분야의 (승소율)를 알려줘.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0015,전문적으로 부산에서 교통사고 변호사를 찾고 있어요 알려주세요
(2019-2023년) 기준 (부산) (건설인프라법무) 분야의 (고객대응품질)를 알려줘.,,부산,,정보조회,보통,건설인프라법무,고객대응품질,부산,2019-2023년,법률신문,KO 0.9 : EN 0.1,정보조회,보통,(2019-2023년) 기준 (부산) (건설인프라법무) 분야의 (고객대응품질)를 알려줘.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0016,신속하게 부산에서 교통사고 변호사를 찾고 있어요
(계약법무) 사건의 (브랜드인지도) 기준과 (부산) 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요.,,부산,,거래상담,보통,계약법무,브랜드인지도,부산,10년추세,부산법원,KO 0.9 : EN 0.1,거래상담,보통,(계약법무) 사건의 (브랜드인지도) 기준과 (부산) 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0017,신속하게 부산에서 교통사고 변호사를 찾고 있어요 도움주세요
법무법인 동래에서 (환경법무) 사건의 (법적정확성)와 서비스 내용을 상담받고 싶습니다.,,부산,,거래상담,보통,환경법무,법적정확성,부산,2025년,부산변협,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래에서 (환경법무) 사건의 (법적정확성)와 서비스 내용을 상담받고 싶습니다.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0018,신속하게 부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요
(2024년) 기준 (부산) (환경법무) 변호사 (시설규모) 평균은?,,부산,,거래상담,보통,환경법무,시설규모,부산,2024년,대한변협,KO 0.9 : EN 0.1,거래상담,보통,(2024년) 기준 (부산) (환경법무) 변호사 (시설규모) 평균은?,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0019,신속하게 부산에서 교통사고 변호사를 찾고 있어요 문의드려요
(최근5년) 기준 (부산) (계약법무) 분야의 (지원인력)를 알려줘.,,부산,,정보조회,보통,계약법무,지원인력,부산,최근5년,대법원,KO 0.9 : EN 0.1,정보조회,보통,(최근5년) 기준 (부산) (계약법무) 분야의 (지원인력)를 알려줘.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0020,신속하게 부산에서 교통사고 변호사를 찾고 있어요 알려주세요
(지적재산권) 관련 (서비스품질) 통계를 (팬데믹이후) 기간으로 정리해주세요.,,부산,,정보조회,보통,지적재산권,서비스품질,부산,팬데믹이후,대법원,KO 0.9 : EN 0.1,정보조회,보통,(지적재산권) 관련 (서비스품질) 통계를 (팬데믹이후) 기간으로 정리해주세요.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0021,정확하게 부산에서 교통사고 변호사를 찾고 있어요
법무법인 동래에서 (건설인프라법무) 사건의 (전문성)와 서비스 내용을 상담받고 싶습니다.,,부산,,거래상담,보통,건설인프라법무,전문성,부산,최근5년,법원행정처,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래에서 (건설인프라법무) 사건의 (전문성)와 서비스 내용을 상담받고 싶습니다.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0022,정확하게 부산에서 교통사고 변호사를 찾고 있어요 도움주세요
(2025년) 기준 (부산) (IT통신법무) 변호사 (시장점유율) 평균은?,,부산,,거래상담,보통,IT통신법무,시장점유율,부산,2025년,KISDI,KO 0.9 : EN 0.1,거래상담,보통,(2025년) 기준 (부산) (IT통신법무) 변호사 (시장점유율) 평균은?,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0023,정확하게 부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요
(소송및분쟁해결) 사건의 (사건처리속도) 기준과 (부산) 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요.,,부산,,거래상담,보통,소송및분쟁해결,사건처리속도,부산,2025년,대법원,KO 0.9 : EN 0.1,거래상담,보통,(소송및분쟁해결) 사건의 (사건처리속도) 기준과 (부산) 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0024,정확하게 부산에서 교통사고 변호사를 찾고 있어요 문의드려요
(지적재산권) 관련 (착수금) 통계를 (최근5년) 기간으로 정리해주세요.,,부산,,정보조회,보통,지적재산권,착수금,부산,최근5년,법무부통계,KO 0.9 : EN 0.1,정보조회,보통,(지적재산권) 관련 (착수금) 통계를 (최근5년) 기간으로 정리해주세요.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0025,정확하게 부산에서 교통사고 변호사를 찾고 있어요 알려주세요
(부울경) (소송및분쟁해결) 변호사 (시간당비용)가 보통 얼마인가요?,,,,정보조회,쉬움,소송및분쟁해결,시간당비용,부울경,2024년,부산변협,KO 0.9 : EN 0.1,정보조회,쉬움,(부울경) (소송및분쟁해결) 변호사 (시간당비용)가 보통 얼마인가요?,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0026,이혼 절차와 비용이 궁금합니다
(2019-2023년) 기준 (경남) (금융법무) 변호사 (변호사인원) 평균은?,,,,거래상담,보통,금융법무,변호사인원,경남,2019-2023년,대한변협,KO 0.9 : EN 0.1,거래상담,보통,(2019-2023년) 기준 (경남) (금융법무) 변호사 (변호사인원) 평균은?,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0027,이혼 절차와 비용이 궁금합니다 도움주세요
(팬데믹이후) 기준 (부산해운대) (형사법무) 변호사 (브랜드인지도) 평균은?,,,,거래상담,보통,형사법무,브랜드인지도,부산해운대,팬데믹이후,부산지법,KO 0.9 : EN 0.1,거래상담,보통,(팬데믹이후) 기준 (부산해운대) (형사법무) 변호사 (브랜드인지도) 평균은?,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0028,이혼 절차와 비용이 궁금합니다 상담받고 싶어요
법무법인 동래에서 (소송및분쟁해결) 사건의 (전문성)와 서비스 내용을 상담받고 싶습니다.,,,,거래상담,보통,소송및분쟁해결,전문성,경남,최근5년,KISDI,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래에서 (소송및분쟁해결) 사건의 (전문성)와 서비스 내용을 상담받고 싶습니다.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0029,이혼 절차와 비용이 궁금합니다 문의드려요
(개인정보보호) 관련 (시간당비용) 통계를 (2019-2023년) 기간으로 정리해주세요.,,,,정보조회,보통,개인정보보호,시간당비용,김해,2019-2023년,부산변협,KO 0.9 : EN 0.1,정보조회,보통,(개인정보보호) 관련 (시간당비용) 통계를 (2019-2023년) 기간으로 정리해주세요.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0030,이혼 절차와 비용이 궁금합니다 알려주세요
(조세법무) 관련 (총비용) 통계를 (2025년) 기간으로 정리해주세요.,,,,정보조회,보통,조세법무,총비용,창원,2025년,KISDI,KO 0.9 : EN 0.1,정보조회,보통,(조세법무) 관련 (총비용) 통계를 (2025년) 기간으로 정리해주세요.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0031,급하게 이혼 절차와 비용이 궁금합니다
(10년추세) 기준 (김해) (환경법무) 변호사 (법적정확성) 평균은?,,,,거래상담,보통,환경법무,법적정확성,김해,10년추세,법률신문,KO 0.9 : EN 0.1,거래상담,보통,(10년추세) 기준 (김해) (환경법무) 변호사 (법적정확성) 평균은?,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0032,급하게 이혼 절차와 비용이 궁금합니다 도움주세요
법무법인 동래에서 (지적재산권) 사건의 (총비용)와 서비스 내용을 상담받고 싶습니다.,,,,거래상담,보통,지적재산권,총비용,김해,2019-2023년,부산법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래에서 (지적재산권) 사건의 (총비용)와 서비스 내용을 상담받고 싶습니다.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0033,급하게 이혼 절차와 비용이 궁금합니다 상담받고 싶어요
(소송및분쟁해결) 사건의 (시간당비용) 기준과 (부울경) 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요.,,,,거래상담,보통,소송및분쟁해결,시간당비용,부울경,팬데믹이후,대법원,KO 0.9 : EN 0.1,거래상담,보통,(소송및분쟁해결) 사건의 (시간당비용) 기준과 (부울경) 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0034,급하게 이혼 절차와 비용이 궁금합니다 문의드려요
(부산서면)에서 (조세법무) 전문 변호사의 (시간당비용)와 (대한변협) 정보를 종합해서 설명해주세요.,,,,정보조회,보통,조세법무,시간당비용,부산서면,2025년,대한변협,KO 0.9 : EN 0.1,정보조회,보통,(부산서면)에서 (조세법무) 전문 변호사의 (시간당비용)와 (대한변협) 정보를 종합해서 설명해주세요.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0035,급하게 이혼 절차와 비용이 궁금합니다 알려주세요
(최근5년) 기준 (부울경) (의료헬스케어법무) 분야의 (수임료)를 알려줘.,,,,정보조회,보통,의료헬스케어법무,수임료,부울경,최근5년,부산법원,KO 0.9 : EN 0.1,정보조회,보통,(최근5년) 기준 (부울경) (의료헬스케어법무) 분야의 (수임료)를 알려줘.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0036,전문적으로 이혼 절차와 비용이 궁금합니다
(건설인프라법무) 사건의 (고객만족도) 기준과 (김해) 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요.,,,,거래상담,보통,건설인프라법무,고객만족도,김해,최근3년,부산지방법원,KO 0.9 : EN 0.1,거래상담,보통,(건설인프라법무) 사건의 (고객만족도) 기준과 (김해) 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0037,전문적으로 이혼 절차와 비용이 궁금합니다 도움주세요
(최근3년) 기준 (경남) (소송및분쟁해결) 변호사 (총비용) 평균은?,,,,거래상담,보통,소송및분쟁해결,총비용,경남,최근3년,KISDI,KO 0.9 : EN 0.1,거래상담,보통,(최근3년) 기준 (경남) (소송및분쟁해결) 변호사 (총비용) 평균은?,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0038,전문적으로 이혼 절차와 비용이 궁금합니다 상담받고 싶어요
