prompt,extracted_keywords_practice_area,extracted_keywords_country,extracted_keywords_metric,extracted_keywords_intent,extracted_keywords_difficulty,final_parameters_practice_area,final_parameters_metric,final_parameters_country,final_parameters_time_span,final_parameters_source_hint,final_parameters_language_ratio,final_parameters_intent,final_parameters_difficulty,template_used,brand_info_name,brand_info_description,brand_info_website,brand_info_slogan,brand_info_concept,brand_info_target,brand_info_specialties,brand_info_products,sample_id,query
(깃허브 트렌드)에서 추천하는 (개발자 밈 굿즈) 제품 구매 전략,개발자 밈 굿즈,일본,,거래,보통,개발자 밈 굿즈,배송비,일본,2019-2023년,깃허브 트렌드,KO 0.8 : EN 0.2,거래,보통,(깃허브 트렌드)에서 추천하는 (개발자 밈 굿즈) 제품 구매 전략,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0015,일본에서 깃허브 문화 굿즈 주문하고 싶어요 도움주세요
(커뮤니티 참여도)를 고려한 (개발자 밈 굿즈) 최적 구매 옵션,개발자 밈 굿즈,미국,,거래,보통,개발자 밈 굿즈,커뮤니티 참여도,미국,최근 3개월,밈 사이트,KO 0.8 : EN 0.2,거래,보통,(커뮤니티 참여도)를 고려한 (개발자 밈 굿즈) 최적 구매 옵션,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0016,미국에서 트렌디하게 깃허브 문화 굿즈 주문하고 싶어요
(개발자 밈 굿즈) 분야에서 (배송 속도)가 우수한 브랜드를 추천해주세요,개발자 밈 굿즈,한국,,탐색,보통,개발자 밈 굿즈,배송 속도,한국,최근 5개월,밈 사이트,KO 0.8 : EN 0.2,탐색,보통,(개발자 밈 굿즈) 분야에서 (배송 속도)가 우수한 브랜드를 추천해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0017,한국에서 급하게 개발자 선물 추천해주세요 문의드려요
(개발자 밈 굿즈) 분야에서 (내구성)가 우수한 브랜드를 추천해주세요,개발자 밈 굿즈,한국,,탐색,보통,개발자 밈 굿즈,내구성,한국,팬데믹(2020-2022년),깃허브 트렌드,KO 0.8 : EN 0.2,탐색,보통,(개발자 밈 굿즈) 분야에서 (내구성)가 우수한 브랜드를 추천해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0018,한국에서 개발자 정체성 표현 굿즈 추천 문의드려요
(10년 추세(2015-2024년)) 기간 (한국) (너디 패션) 상위 브랜드를 (고객 응답) 기준으로 정리해주세요,너디 패션,한국,,탐색,보통,너디 패션,고객 응답,한국,10년 추세(2015-2024년),밈 사이트,KO 0.8 : EN 0.2,탐색,보통,(10년 추세(2015-2024년)) 기간 (한국) (너디 패션) 상위 브랜드를 (고객 응답) 기준으로 정리해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0019,한국에서 급하게 너디 패션 브랜드 추천해주세요 도움주세요
(최근 5개월) 기준 (미국) (코딩 유머 아이템) (배송비) 평균 가격은?,코딩 유머 아이템,,,거래,보통,코딩 유머 아이템,배송비,미국,최근 5개월,개발자 커뮤니티,KO 0.8 : EN 0.2,거래,보통,(최근 5개월) 기준 (미국) (코딩 유머 아이템) (배송비) 평균 가격은?,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0020,글로벌에서 전문적으로 스타트업 문화 아이템 커스터마이징 도움주세요
(밈 사이트)에서 인기 있는 (너디 패션) 브랜드들의 (배송비) 비교,너디 패션,미국,,탐색,보통,너디 패션,배송비,미국,팬데믹(2020-2022년),밈 사이트,KO 0.8 : EN 0.2,탐색,보통,(밈 사이트)에서 인기 있는 (너디 패션) 브랜드들의 (배송비) 비교,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0021,미국에서 고품질로 너디 패션 브랜드 추천해주세요 상담받고 싶어요
(깃허브 트렌드)에서 인기 있는 (힐링 개발템) 브랜드들의 (원단 퀄리티) 비교,힐링 개발템,,,탐색,보통,힐링 개발템,원단 퀄리티,중국,10년 추세(2015-2024년),깃허브 트렌드,KO 0.8 : EN 0.2,탐색,보통,(깃허브 트렌드)에서 인기 있는 (힐링 개발템) 브랜드들의 (원단 퀄리티) 비교,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0022,글로벌에서 힐링 개발템 어디서 사나요
(힐링 개발템) 분야에서 (고객 응답)가 우수한 브랜드를 추천해주세요,힐링 개발템,한국,,탐색,보통,힐링 개발템,고객 응답,한국,2025년,밈 사이트,KO 0.8 : EN 0.2,탐색,보통,(힐링 개발템) 분야에서 (고객 응답)가 우수한 브랜드를 추천해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0023,한국에서 전문적으로 힐링 개발템 어디서 사나요
(10년 추세(2015-2024년)) 기간 (호주) (개발자 밈 굿즈) 상위 브랜드를 (프린팅 품질) 기준으로 정리해주세요,개발자 밈 굿즈,,,탐색,보통,개발자 밈 굿즈,프린팅 품질,호주,10년 추세(2015-2024년),개발자 커뮤니티,KO 0.8 : EN 0.2,탐색,보통,(10년 추세(2015-2024년)) 기간 (호주) (개발자 밈 굿즈) 상위 브랜드를 (프린팅 품질) 기준으로 정리해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0024,글로벌에서 급하게 개발자 선물 추천해주세요 알려주세요
(2025년) (너디 패션) 트렌드를 반영한 브랜드 추천,너디 패션,한국,,탐색,보통,너디 패션,내구성,한국,2025년,밈 사이트,KO 0.8 : EN 0.2,탐색,보통,(2025년) (너디 패션) 트렌드를 반영한 브랜드 추천,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0025,한국에서 고품질로 너디 패션 브랜드 추천해주세요
(개발자 커뮤니티)에서 인기 있는 (개발자 밈 굿즈) 브랜드들의 (배송 속도) 비교,개발자 밈 굿즈,,,탐색,보통,개발자 밈 굿즈,배송 속도,프랑스,2025년,개발자 커뮤니티,KO 0.8 : EN 0.2,탐색,보통,(개발자 커뮤니티)에서 인기 있는 (개발자 밈 굿즈) 브랜드들의 (배송 속도) 비교,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0026,전문적으로 개발자 선물 추천해주세요 상담받고 싶어요
(최근 5개월) 기준 (프랑스) (프로그래머 라이프스타일) (프린팅 품질) 평균 가격은?,프로그래머 라이프스타일,,,거래,보통,프로그래머 라이프스타일,프린팅 품질,프랑스,최근 5개월,IT 뉴스,KO 0.8 : EN 0.2,거래,보통,(최근 5개월) 기준 (프랑스) (프로그래머 라이프스타일) (프린팅 품질) 평균 가격은?,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0027,글로벌에서 고품질로 프로그래머 라이프스타일 제품 문의 알려주세요
(깃허브 트렌드)에서 추천하는 (개발자 밈 굿즈) 제품 구매 전략,개발자 밈 굿즈,,,거래,보통,개발자 밈 굿즈,재고 관리,캐나다,최근 5개월,깃허브 트렌드,KO 0.8 : EN 0.2,거래,보통,(깃허브 트렌드)에서 추천하는 (개발자 밈 굿즈) 제품 구매 전략,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0028,트렌디하게 해커톤 굿즈 대량 구매 가능한가요
(밈 사이트)에서 인기 있는 (개발자 밈 굿즈) 브랜드들의 (할인율) 비교,개발자 밈 굿즈,일본,,탐색,보통,개발자 밈 굿즈,할인율,일본,2025년,밈 사이트,KO 0.8 : EN 0.2,탐색,보통,(밈 사이트)에서 인기 있는 (개발자 밈 굿즈) 브랜드들의 (할인율) 비교,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0029,일본에서 급하게 개발자 선물 추천해주세요 상담받고 싶어요
(2019-2023년) 기준 (한국) (프로그래머 라이프스타일) (고객 응답) 평균 가격은?,프로그래머 라이프스타일,한국,,거래,보통,프로그래머 라이프스타일,고객 응답,한국,2019-2023년,개발자 커뮤니티,KO 0.8 : EN 0.2,거래,보통,(2019-2023년) 기준 (한국) (프로그래머 라이프스타일) (고객 응답) 평균 가격은?,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0030,한국에서 고품질로 프로그래머 라이프스타일 제품 문의 문의드려요
(일본)에서 (코딩 유머 아이템) 브랜드의 (배송 속도)와 (밈 사이트) 정보를 종합해서 설명해주세요,코딩 유머 아이템,일본,,정보,보통,코딩 유머 아이템,배송 속도,일본,2019-2023년,밈 사이트,KO 0.8 : EN 0.2,정보,보통,(일본)에서 (코딩 유머 아이템) 브랜드의 (배송 속도)와 (밈 사이트) 정보를 종합해서 설명해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0031,일본에서 코딩 유머 아이템 가격이 궁금해요
(10년 추세(2015-2024년)) 기준 (한국) (개발자 밈 굿즈) (멤버십 혜택) 평균 가격은?,개발자 밈 굿즈,한국,,거래,보통,개발자 밈 굿즈,멤버십 혜택,한국,10년 추세(2015-2024년),IT 뉴스,KO 0.8 : EN 0.2,거래,보통,(10년 추세(2015-2024년)) 기준 (한국) (개발자 밈 굿즈) (멤버십 혜택) 평균 가격은?,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0032,한국에서 해커톤 굿즈 대량 구매 가능한가요 알려주세요
(최근 3개월) 기준 (미국) (코딩 유머 아이템) 분야의 (내구성)를 분석해주세요,코딩 유머 아이템,,,정보,보통,코딩 유머 아이템,내구성,미국,최근 3개월,깃허브 트렌드,KO 0.8 : EN 0.2,정보,보통,(최근 3개월) 기준 (미국) (코딩 유머 아이템) 분야의 (내구성)를 분석해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0033,글로벌에서 고품질로 스타트업 문화 아이템 커스터마이징
(2025년) 기준 (캐나다) (개발자 밈 굿즈) (바이럴 지수) 평균 가격은?,개발자 밈 굿즈,,,거래,보통,개발자 밈 굿즈,바이럴 지수,캐나다,2025년,IT 뉴스,KO 0.8 : EN 0.2,거래,보통,(2025년) 기준 (캐나다) (개발자 밈 굿즈) (바이럴 지수) 평균 가격은?,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0034,글로벌에서 트렌디하게 깃허브 문화 굿즈 주문하고 싶어요 도움주세요
(2025년) 기간 (일본) (개발자 밈 굿즈) 상위 브랜드를 (바이럴 지수) 기준으로 정리해주세요,개발자 밈 굿즈,일본,,탐색,보통,개발자 밈 굿즈,바이럴 지수,일본,2025년,밈 사이트,KO 0.8 : EN 0.2,탐색,보통,(2025년) 기간 (일본) (개발자 밈 굿즈) 상위 브랜드를 (바이럴 지수) 기준으로 정리해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0035,일본에서 개발자 선물 추천해주세요 도움주세요
